Payment Date,Amount,Organisational Unit
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Museums & Arts
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-29,25.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-29,25.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-29,25.00,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-19,2000.00,Deputy Chief Executive (obsolete)-ICT Services
2018-06-15,700.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-20,1070.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-06-20,63961.00,Children and Young People (obsolete)-Education
2018-06-26,1995.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,729.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,1504.40,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,1144.77,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-12,4601.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,15827.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,15827.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,11832.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,13825.83,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
