Supplier Name,Category Family,Invoice GL Date,Spend
Amey Rail,Track,2018-07-13,454069.20
Amey Rail,Track,2018-07-13,401368.89
Amey Rail,Track,2018-07-13,1386822.95
Amey Rail,Track,2018-07-13,354612.92
Amey Rail,Track,2018-07-13,186330.94
Amey Rail,Track,2018-07-12,192655.00
Amey Rail,Track,2018-07-12,28300.44
Amey Rail,Track,2018-07-12,328124.57
Amey Rail,Track,2018-07-12,37476.09
Amey Rail,Track,2018-07-13,146916.80
Amey Rail,Track,2018-07-13,44603.00
Amey Rail,Track,2018-07-13,167117.00
Amey Rail,Track,2018-07-12,35133.00
Amey Rail,Track,2018-07-12,33233.15
Amey Rail,Track,2018-07-12,289868.00
Amey Rail,Track,2018-07-12,54780.00
Amey Rail,Track,2018-07-12,508672.00
Amey Rail,Track,2018-07-12,263048.00
Amey Rail,Electrification and Fixed Plant,2018-07-10,53912.68
Amey Rail,Electrification and Fixed Plant,2018-07-10,36165.46
Amey Rail,Electrification and Fixed Plant,2018-07-10,407686.86
Amey Rail,Track,2018-07-13,100000.00
Amey Rail,Professional Services Direct,2018-07-12,348682.40
Amey Rail,Intelligent Infrastructure,2018-07-20,27815.62
Amey Rail,Electrification and Fixed Plant,2018-07-23,140201.10
Amey Rail,Electrification and Fixed Plant,2018-07-23,3889182.98
Amey Rail,Track,2018-07-12,423920.84
Amey Rail,Track,2018-07-06,64704.90
Amey Rail,Track,2018-07-05,366750.01
Amey Rail,Track,2018-07-09,328060.38
Amey Rail,Track,2018-07-06,3061541.66
Amey Rail,Signalling,2018-07-16,30000.00
Amey Rail,Track,2018-07-12,151713.00
Amey Rail,Track,2018-07-06,724516.12
Amey Rail,Professional Services Direct,2018-07-13,203621.01
Amey Rail,Track,2018-07-12,52291.00
Amey Rail,Track,2018-07-13,38038.00
Amey Rail,Track,2018-07-12,66000.00
Amey Rail,Track,2018-07-12,134000.00
Amey Rail,Track,2018-07-06,90756.00
Amey Rail,Track,2018-07-30,98032.07
Amey Rail,Track,2018-07-06,138107.00
Amey Rail,Track,2018-07-31,74700.98
Amey Rail,Track,2018-07-06,42083.27
Amey Rail,Track,2018-07-31,185849.96
Amey Rail,Track,2018-07-06,67754.97
Amey Rail,Track,2018-07-31,159821.03
Amey Rail,Track,2018-07-06,413531.54
Amey Rail,Track,2018-07-30,53030.02
Amey Rail,Track,2018-07-06,185738.18
Amey Rail,Track,2018-07-30,309503.57
Amey Rail,Track,2018-07-06,121368.06
Amey Rail,Track,2018-07-31,223057.94
Amey Rail,Track,2018-07-06,146545.00
Amey Rail,Track,2018-07-31,131511.00
Amey Rail,Track,2018-07-12,117540.07
Amey Rail,Track,2018-07-13,179702.45
Amey Rail,Professional Services Direct,2018-07-13,425120.07
Amey Rail,Track,2018-07-13,51679.09
Amey Rail,Signalling,2018-07-13,67400.00
Amey Rail,Track,2018-07-09,255172.91
Amey Rail,Track,2018-07-06,326104.70
Amey Rail,Track,2018-07-12,121584.50
Amey Rail,Track,2018-07-06,68366.31
Amey Rail,Electrification and Fixed Plant,2018-07-12,2412668.30
Amey Rail,Signalling,2018-07-16,171860.44
Amey Rail,Signalling,2018-07-10,76105.72
Amey Rail,Signalling,2018-07-17,548846.22
Amey-Colas,Track,2018-07-26,659193.06
AmeyInabensa,Electrification and Fixed Plant,2018-07-05,292135.55
AmeyInabensa,Electrification and Fixed Plant,2018-07-05,246061.99
AmeyInabensa,Electrification and Fixed Plant,2018-07-09,1368694.14
AmeyInabensa,Electrification and Fixed Plant,2018-07-13,10779464.65
Anixter (UK) Ltd,Plant and Tools,2018-07-28,313386.50
Ansaldo STS France,Signalling,2018-07-17,25099.44
Ansaldo STS France,Signalling,2018-07-17,25099.44
Ansaldo STS France,Signalling,2018-07-17,25099.44
Ansaldo STS France,Signalling,2018-07-17,25099.45
Aptitude Software Ltd,Information Technology,2018-07-09,48865.64
Aqua Signal & Telegraphic Systems Ltd,,2018-07-03,120750.00
Aqua Signal & Telegraphic Systems Ltd,,2018-07-12,31950.00
Aqua Signal & Telegraphic Systems Ltd,,2018-07-09,29000.00
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-27,25010.05
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-23,177217.73
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-23,102254.57
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-23,362040.47
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-23,89019.41
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-14,103581.43
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-02,45427.20
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-30,28928.16
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-23,59968.80
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-22,37954.01
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-16,49129.60
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-04,109267.43
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-28,134454.98
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-22,83571.82
Arcadis Consulting (UK) Ltd,Professional Services Direct,2018-07-28,181527.24
Arcadis LLP,Professional Services Direct,2018-07-16,65837.13
Arcadis LLP,Professional Services Direct,2018-07-16,64420.30
Arcadis LLP,Professional Services Direct,2018-07-16,130413.13
Arcadis LLP,Professional Services Direct,2018-07-16,60358.06
Arcadis LLP,Professional Services Direct,2018-07-20,25073.70
Arcadis LLP,Professional Services Direct,2018-07-28,29212.50
Arcelor Mittal Espana SA,Rail and Ancillaries,2018-07-10,811522.80
Arriva Rail North Ltd,Regulatory Charges,2018-07-28,60000.00
Arriva Rail North Ltd,Rail Fleet,2018-07-23,42797.22
Arriva Trains Wales/Trenau Arriva Cymru Ltd,Regulatory Charges,2018-07-26,52335.03
Arriva Trains Wales/Trenau Arriva Cymru Ltd,Recruitment Services,2018-07-07,76246.26
Arthur Flury (UK) Ltd,Plant and Tools,2018-07-05,43650.77
Arthur Flury (UK) Ltd,Electrification and Fixed Plant,2018-07-05,102723.84
Arthur Flury (UK) Ltd,Plant and Tools,2018-07-02,29593.74
Asbestos Consultants Europe Ltd,Facilities - Hard Services,2018-07-26,176312.45
Asbestos Consultants Europe Ltd,Facilities - Hard Services,2018-07-04,181998.27
Aspin Group Ltd,Electrification and Fixed Plant,2018-07-25,74229.33
Atkins Ltd,Signalling,2018-07-16,30339.32
Atkins Ltd,Professional Services Direct,2018-07-02,34420.68
Atkins Ltd,Professional Services Direct,2018-07-06,76591.35
Atkins Ltd,Signalling,2018-07-09,80000.00
Atkins Ltd,Telecoms,2018-07-17,50000.00
Atkins Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-02,41048.00
Atkins Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-07-27,37829.87
Atkins Ltd,Professional Services Direct,2018-07-27,328007.94
Atkins Ltd,Signalling,2018-07-26,457215.37
Atkins Ltd,Signalling,2018-07-10,32475.60
Atkins Ltd,Signalling,2018-07-10,236729.94
Atkins Ltd,Signalling,2018-07-26,29911.35
Atkins Ltd,Professional Services Direct,2018-07-20,53182.25
Atkins Ltd,Professional Services Direct,2018-07-04,216636.73
Atkins Ltd,Signalling,2018-07-17,1164074.90
Atkins Ltd,Signalling,2018-07-09,607351.74
Atkins Ltd,Professional Services Direct,2018-07-24,40836.77
Atkins Ltd,Professional Services Direct,2018-07-06,52170.26
Atkins Ltd,Professional Services Direct,2018-07-10,51240.40
Atkins Ltd,Signalling,2018-07-03,199462.92
Atkins Ltd,Signalling,2018-07-31,149826.19
Atkins Ltd,Professional Services Direct,2018-07-19,135477.56
Atkins Ltd,Signalling,2018-07-31,77544.53
Atkins Ltd,Signalling,2018-07-30,103028.94
Atkins Ltd,Signalling,2018-07-11,697005.11
Atkins Ltd,Signalling,2018-07-11,141416.49
Atkins Ltd,Professional Services Direct,2018-07-20,192281.75
Atkins Ltd,Professional Services Direct,2018-07-13,660991.36
Atkins Ltd,Professional Services Direct,2018-07-13,255747.30
Atkins Ltd,Professional Services Direct,2018-07-23,83402.00
Atos IT Services UK Ltd,Information Technology,2018-07-10,33768.61
Atos IT Services UK Ltd,Telecoms,2018-07-03,156971.75
Atos IT Services UK Ltd,Information Technology,2018-07-30,25987.00
Atos IT Services UK Ltd,Information Technology,2018-07-07,43622.69
Atos IT Services UK Ltd,Information Technology,2018-07-26,25676.00
Atos IT Services UK Ltd,Information Technology,2018-07-03,69235.00
Atos IT Services UK Ltd,Information Technology,2018-07-22,69231.00
Atos IT Services UK Ltd,Information Technology,2018-07-28,27617.00
Atos IT Services UK Ltd,Information Technology,2018-07-31,128000.00
Atos IT Services UK Ltd,Information Technology,2018-07-22,63892.00
Avalon Metals Ltd t/a Wye Valley Metals,Facilities - Soft Services,2018-07-22,68609.78
B & M McHugh Ltd,Buildings,2018-07-16,58777.76
B & M McHugh Ltd,General Civils,2018-07-03,50000.00
B & M McHugh Ltd,General Civils,2018-07-03,91948.00
B & M McHugh Ltd,General Civils,2018-07-02,76948.00
B & M McHugh Ltd,General Civils,2018-07-04,25321.82
B & M McHugh Ltd,General Civils,2018-07-26,93706.81
B & M McHugh Ltd,General Civils,2018-07-26,68450.75
B & M McHugh Ltd,Buildings,2018-07-03,127154.51
B & M McHugh Ltd,Buildings,2018-07-26,188839.60
B & M McHugh Ltd,Buildings,2018-07-06,74536.48
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-26,225000.00
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-03,232825.11
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-24,49955.88
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-02,36173.50
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-02,62456.25
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-06,81449.50
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-06,47874.20
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-23,53708.88
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-23,96865.00
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-27,40126.94
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-28,69929.00
BAE Systems Applied Intelligence Ltd,Information Technology,2018-07-22,31721.50
BAM Nuttall Ltd,General Civils,2018-07-12,52062.79
BAM Nuttall Ltd,General Civils,2018-07-09,4889074.84
BAM Nuttall Ltd,General Civils,2018-07-04,56787.58
BAM Nuttall Ltd,Track,2018-07-03,114546.49
BAM Nuttall Ltd,General Civils,2018-07-03,54403.78
BAM Nuttall Ltd,Buildings,2018-07-31,86041.79
BAM Nuttall Ltd,General Civils,2018-07-10,135908.56
BAM Nuttall Ltd,General Civils,2018-07-25,178610.81
BAM Nuttall Ltd,Professional Services Direct,2018-07-06,49229.81
BAM Nuttall Ltd,General Civils,2018-07-26,260861.00
BAM Nuttall Ltd,General Civils,2018-07-05,856065.00
BAM Nuttall Ltd,General Civils,2018-07-10,99480.30
BAM Nuttall Ltd,General Civils,2018-07-25,119936.45
BAM Nuttall Ltd,Professional Services Direct,2018-07-04,35363.17
BAM Nuttall Ltd,General Civils,2018-07-05,151110.54
BAM Nuttall Ltd,Professional Services Direct,2018-07-30,25000.00
