Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/04/2015,DENNIS EAGLE LTD,4626116,235.47,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,DENNIS EAGLE LTD,4627890,260.45,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,DENNIS EAGLE LTD,4625594,266.25,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,DENNIS EAGLE LTD,4626880,313.90,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,DENNIS EAGLE LTD,4626118,399.76,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,DENNIS EAGLE LTD,4626117,420.66,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,DENNIS EAGLE LTD,4627137,505.95,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,DENNIS EAGLE LTD,4627138,513.51,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,01/04/2015,FUCHS LUBRICANTS (UK) PLC,4626957,491.00,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/04/2015,HALL FUELS,4627072,464.96,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/04/2015,HALL FUELS,4628051,471.67,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,15/04/2015,HALL FUELS,4626971,474.70,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/04/2015,HALL FUELS,4625679,484.30,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,08/04/2015,HALL FUELS,4626213,484.60,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,15/04/2015,HALL FUELS,4626969,"8,811.20",
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,08/04/2015,HALL FUELS,4626892,"8,938.08",
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/04/2015,HALL FUELS,4628049,"9,254.96",
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,MEND A HOSE HYDRAULICS LTD,4626875,223.75,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/04/2015,MEND A HOSE HYDRAULICS LTD,4625721,464.74,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,91.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,113.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,91.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,18.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,113.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,13/04/2015,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,NORTHERN COMMERCIALS (MIRFIELD) LTD,4628394,259.47,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/04/2015,NORTHERN COMMERCIALS (MIRFIELD) LTD,4626938,860.20,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,01/04/2015,S & W SERVICES (YORKSHIRE) LTD,4626295,35.60,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,S & W SERVICES (YORKSHIRE) LTD,4626862,258.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,S & W SERVICES (YORKSHIRE) LTD,4626288,289.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/04/2015,S & W SERVICES (YORKSHIRE) LTD,4628108,289.00,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/04/2015,S & W SERVICES (YORKSHIRE) LTD,4628102,249.85,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/04/2015,S & W SERVICES (YORKSHIRE) LTD,4627204,323.70,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/04/2015,S & W SERVICES (YORKSHIRE) LTD,4628104,684.60,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/04/2015,S & W SERVICES (YORKSHIRE) LTD,4626295,834.50,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,SPALDINGS (UK) LTD,4626382,8.23,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/04/2015,SPALDINGS (UK) LTD,4626382,228.75,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/04/2015,SPALDINGS (UK) LTD,4626382,65.91,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/04/2015,TERBERG MATEC UK,4625742,252.46,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/04/2015,THE AUTOGLAZIERS,4627737,265.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,TRUST FIRST PARTS,4627956,351.71,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/04/2015,TRUST FIRST PARTS,4627954,952.50,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,08/04/2015,AST CONNECTIONS LTD,4627429,-607.66,accr1415 
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,08/04/2015,AST CONNECTIONS LTD,4627426,731.84,accr1415 
Harrogate Borough Council,Employees,R,Community,Civil Contingencies,Non Qualification Training,08/04/2015,SERCO LTD,4626391,835.00,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Subsistence,22/04/2015,REDFERN TRAVEL LTD,4627563,112.43,REDACTED -PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Community Safety,Security Systems-Inst & Maint,29/04/2015,BRITISH TELECOMMUNICATIONS PLC,4628741,"12,258.86",CCTV 5326
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,13/04/2015,EFFECTIVE SECURITY SERVICES LTD,4627131,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,27/04/2015,EFFECTIVE SECURITY SERVICES LTD,4628438,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,27/04/2015,FAIRFAX COMMUNITY CENTRE MANAGEMENT COMMITTEE,4628721,924.00,Fairfax DropIn Zone Project Grant Qtr 4 201415
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Subscriptions,01/04/2015,NATIONAL COMMUNITY SAFETY,4625472,285.00,ACCR1516
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/04/2015,SAFE AND SOUND DERBY LTD,4626393,850.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/04/2015,SOLON SECURITY LTD,4626920,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/04/2015,SOLON SECURITY LTD,4626920,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/04/2015,SOLON SECURITY LTD,4626920,"1,000.00",
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,20/04/2015,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,270.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,20/04/2015,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,18.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,20/04/2015,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,10.50,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Equipment,15/04/2015,CAMPBELL ASSOCIATES LTD,4626502,"7,910.00",
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Consultants Fees,29/04/2015,HOLMES ENVIRONMENTAL HEALTH LTD,4628460,"1,100.00",
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,22/04/2015,NORTHUMBRIAN WATER LIMITED (NWL),4628158,"1,730.17",
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Qualification Training,15/04/2015,RICARDO-AEA LIMITED,4626866,"1,650.00",
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,22/04/2015,ACORN LIGHTING SERVICES,4627984,229.81,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,22/04/2015,ACORN LIGHTING SERVICES,4627983,263.98,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,01/04/2015,ACORN LIGHTING SERVICES,4626435,"1,782.44",
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,15/04/2015,BOB COWELL,4626459,573.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,22/04/2015,BOB COWELL,4626842,"1,050.00",
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,08/04/2015,NORTHERN POWERGRID (NORTHEAST) LTD,4626671,436.25,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,15/04/2015,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,371.02,various
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,15/04/2015,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,"1,484.08",various
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,15/04/2015,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,742.04,various
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,08/04/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,14.03,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,08/04/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,14.03,Mar Fuel
