Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2019-12-09,PHS GROUP PLC,3597936,213.76,
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Cleaning & Hygiene Services,2019-12-04,PHS GROUP PLC,3597939,568.80,
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2019-12-09,PHS GROUP PLC,3597941,213.76,
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2019-12-09,PHS GROUP PLC,3597949,213.76,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2019-12-11,PROFESSIONAL PAPER SUPPLIES LTD,3596728,1024.85,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2019-12-23,PROFESSIONAL PAPER SUPPLIES LTD,3597971,268.50,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,TRAVAIL EMPLOYMENT GROUP LTD,3594811,196.20,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,TRAVAIL EMPLOYMENT GROUP LTD,3594811,287.07,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,TRAVAIL EMPLOYMENT GROUP LTD,3595124,506.03,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,TRAVAIL EMPLOYMENT GROUP LTD,3595124,39.00,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-18,TRAVAIL EMPLOYMENT GROUP LTD,3597611,833.90,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-16,TRAVAIL EMPLOYMENT GROUP LTD,3598124,423.77,
