Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,51.27,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,54.29,Fuel June 15,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,58.82,Fuel June 15,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,-58.82,Fuel June 15,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,-54.29,Fuel June 15,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,13/07/2015,AUDAX GLOBAL SOLUTIONS LTD,4633336,"8,125.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,13/07/2015,AUDAX GLOBAL SOLUTIONS LTD,4633336,525.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,13/07/2015,AUDAX GLOBAL SOLUTIONS LTD,4633336,"1,020.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,13/07/2015,AUDAX GLOBAL SOLUTIONS LTD,4633336,50.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,29/07/2015,BEMROSE BOOTH PARAGON LTD,4634428,"-1,083.17",CREDIT TRANS 4634390,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,01/07/2015,BEMROSE BOOTH PARAGON LTD,4632040,395.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,01/07/2015,BEMROSE BOOTH PARAGON LTD,4632040,14.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,29/07/2015,BEMROSE BOOTH PARAGON LTD,4634390,"1,128.17",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,29/07/2015,BEMROSE BOOTH PARAGON LTD,4634393,"1,132.80",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,29/07/2015,BEMROSE BOOTH PARAGON LTD,4634393,45.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,29/07/2015,BEMROSE BOOTH PARAGON LTD,4634393,75.00,,,,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,15/07/2015,ELECTROMECH ECS LTD,4633026,311.70,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,29/07/2015,HER MAJESTY?S COURTS SERVICE,4634678,"5,000.00",To register cases at the TEC,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,29/07/2015,HER MAJESTY?S COURTS SERVICE,4634678,"-5,000.00",To register cases at the TEC,,,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,29/07/2015,HER MAJESTY?S COURTS SERVICE,4634678,720.00,To register cases at the TEC,,,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,22/07/2015,METRIC GROUP LTD,4632974,380.60,,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4633561,287.80,29052013,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4633568,287.80,29052013,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,06/07/2015,NORTHGATE VEHICLE HIRE LTD,4633191,19.00,Vehicle Monitoring,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,06/07/2015,NORTHGATE VEHICLE HIRE LTD,4633191,-19.00,Vehicle Monitoring,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4634590,-532.00,Vehicle Monitoring,,,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4634590,532.00,Vehicle Monitoring,,,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,15/07/2015,WHARFEDALE FINANCE CO.,4633430,850.00,Car Park Station Road Pannal,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,6.85,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,66.03,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,21.00,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,169.01,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,21.00,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,35.04,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,14.27,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,24.58,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,14.27,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,"1,305.01",ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,694.12,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,"1,508.95",ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,488.43,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,439.12,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,465.81,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,531.90,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,100.72,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,501.15,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,102.60,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,29/07/2015,ATS EUROMASTER LTD,4633596,81.18,ATS TYRES JUNE 2015,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,15/07/2015,BARRY CARTER MOTOR PRODUCTS LTD,4633482,249.95,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,22/07/2015,BARRY CARTER MOTOR PRODUCTS LTD,4633483,253.34,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,BARRY CARTER MOTOR PRODUCTS LTD,4633480,129.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,BARRY CARTER MOTOR PRODUCTS LTD,4633480,129.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,22/07/2015,BERENDSEN UK LTD,4634013,"2,642.36",CLARO ROAD DEPOT,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,22/07/2015,BRADBURY EQUIPMENT,4634654,474.00,171 5631,,,
Harrogate Borough Council,Employees,R,Community,Central Transport,Staff Advertising,08/07/2015,CIWM ENTERPRISES LTD,4632123,450.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/07/2015,DENNIS EAGLE LTD,4631813,222.40,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,DENNIS EAGLE LTD,4632563,254.78,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,DENNIS EAGLE LTD,4632190,457.38,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,DENNIS EAGLE LTD,4632564,457.38,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,DENNIS EAGLE LTD,4632567,577.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,DENNIS EAGLE LTD,4632884,"1,843.65",MONTHLY ORDER,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/07/2015,FUCHS LUBRICANTS (UK) PLC,4634458,325.95,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/07/2015,FUCHS LUBRICANTS (UK) PLC,4633024,"2,010.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,22/07/2015,GEMCO EQUIPMENT LTD,4633323,495.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/07/2015,GOLF AND TURF MACHINERY,4634464,244.60,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,GOLF AND TURF MACHINERY,4633449,345.09,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/07/2015,HALL FUELS,4633977,239.03,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/07/2015,HALL FUELS,4632177,243.35,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/07/2015,HALL FUELS,4633422,478.48,Claro Road Depot,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,15/07/2015,HALL FUELS,4632971,487.69,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,08/07/2015,HALL FUELS,4632486,488.00,Claro Road Depot,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,01/07/2015,HALL FUELS,4632178,"9,364.87",,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,15/07/2015,HALL FUELS,4632972,"9,368.00",,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/07/2015,HALL FUELS,4633976,"11,122.25",,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/07/2015,HALL FUELS,4633440,"11,133.06",Claro Road Depot,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,08/07/2015,HALL FUELS,4632623,"11,295.27",,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,MIKE WILSON MOTORS,4632029,225.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,MIKE WILSON MOTORS,4632214,170.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,MIKE WILSON MOTORS,4632214,170.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,MIKE WILSON MOTORS,4632028,565.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,MITCHELL DIESEL LTD,4633001,"8,100.59",,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633783,113.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633783,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633783,91.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633783,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,91.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,113.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,18.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,113.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,91.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,18.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,15/07/2015,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,15/07/2015,POST OFFICE LTD,4634018,280.00,Vehicle tax for August 201 5,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,15/07/2015,POST OFFICE LTD,4634018,280.00,Vehicle tax for August 201 5,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Service Maintenance Contracts,29/07/2015,PUMP AND PIPEWORK SERVICES LTD,4635044,420.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,01/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632026,238.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633732,238.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633733,298.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633376,68.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633376,68.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632805,480.47,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632805,12.35,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632806,129.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,08/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632806,288.00,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633412,298.00,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633414,237.00,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,29/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633735,238.50,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633376,254.00,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,08/07/2015,S & W SERVICES (YORKSHIRE) LTD,4632806,98.00,,,,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,22/07/2015,S & W SERVICES (YORKSHIRE) LTD,4633412,666.34,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/07/2015,T C HARRISON JCB,4634230,"7,479.68",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Carriage/Delivery,29/07/2015,TERBERG MATEC UK,4634223,14.50,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,22/07/2015,TERBERG MATEC UK,4633072,215.47,,,,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,29/07/2015,TERBERG MATEC UK,4634223,382.76,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Marketing/Promotion,06/07/2015,CITY OF YORK COUNCIL,4633405,462.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,06/07/2015,YAS (ENTERPRISES) LTD,4633368,"2,096.29",,,,
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,01/07/2015,BAYDALE CONTROL SYSTEMS LTD,4632556,"2,273.33",Monthly CCTV Upgrade Maintenance for the period of June 2015,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,01/07/2015,EFFECTIVE SECURITY SERVICES LTD,4633311,337.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/07/2015,EFFECTIVE SECURITY SERVICES LTD,4634098,337.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/07/2015,EFFECTIVE SECURITY SERVICES LTD,4634099,337.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,22/07/2015,EFFECTIVE SECURITY SERVICES LTD,4634456,337.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Licence Fees,29/07/2015,NABCP LTD,4634316,490.00,Membership Renewal,,,
Harrogate Borough Council,Premises,R,Community,Community Safety,Payments to Ext Contractors,20/07/2015,RAPID COMPUTERS LIMITED,4633765,926.00,,,,
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,20/07/2015,REDFERN TRAVEL LTD,4633696,119.71,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,01/07/2015,SOLON SECURITY LTD,4632027,237.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4633007,237.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632836,165.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632836,450.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632839,112.25,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632839,449.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632839,449.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,SOLON SECURITY LTD,4632839,112.25,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,15/07/2015,ST MICHAEL?S HOSPICE,4632888,800.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,01/07/2015,THE NIDDERDALE PLUS PARTNERSHIP,4633428,500.00,Safer Nidderdale Project Grant 201516,,,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Service Maintenance Contracts,08/07/2015,GEOTECHNICAL INSTRUMENTS (UK) LTD,4632260,330.00,,,,
