Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2016-12-28,215115,STORM ENVIRONMENTAL LIMITED,4666440,4900.00,
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-05,208373,WETHERBY SKIP HIRE SERVICES,4664630,112.50,VARIOUS
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-05,208373,WETHERBY SKIP HIRE SERVICES,4664630,112.50,VARIOUS
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-21,208373,WETHERBY SKIP HIRE SERVICES,4664595,400.00,
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-21,208373,WETHERBY SKIP HIRE SERVICES,4664595,100.00,
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-21,208373,WETHERBY SKIP HIRE SERVICES,4664595,400.00,
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-12-21,208373,WETHERBY SKIP HIRE SERVICES,4664595,100.00,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-12,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4664729,52.45,Nov Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-12,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4664729,52.45,Nov Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666448,58.61,Premium Diesel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666448,51.56,Premium Diesel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666448,58.61,Premium Diesel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666448,51.56,Premium Diesel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666825,49.03,DEC FUEL
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-12-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,4666825,49.03,DEC FUEL
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2016-12-28,204796,DESIGNA UK LTD,4665846,404.73,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2016-12-12,201866,HILL CANNON CONSULTING LLP,4665247,1500.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,2016-12-28,202040,IXP LTD,4666680,750.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2016-12-28,203116,ODEON CINEMAS LTD,4667029,4250.00,Quarterly Rent in Advance 25122016  24032017
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2016-12-21,209084,PARK SQUARE PROPERTY MANAGEMENT LTD,4666227,12500.00,Station Parade Car Park
Harrogate Borough Council,Employees,R,Community,Car Parking,Non Qualification Training,2016-12-05,219386,PARKEON LTD,4665167,1200.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2016-12-21,219386,PARKEON LTD,4665209,686.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,200467,ADDISON MOTOR GROUP T/A LOOKERS FORD,4664929,514.18,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,139.28,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,181.47,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,160.31,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,171.68,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,243.42,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,37.55,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,433.28,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,121.49,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,81.19,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,68.40,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,457.18,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,684.45,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,497.24,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,81.19,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,81.19,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,813.73,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,165.75,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,165.75,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,662.98,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,189.47,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,286.26,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,243.56,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,128.19,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,76.14,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,165.75,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,331.49,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,647.63,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,165.75,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,14.27,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,305.61,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,14.27,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,40.34,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,454.54,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,692.50,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,158.07,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,188.87,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,632.26,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,27.03,NOV 16
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-12-28,200354,ATS EUROMASTER LTD,4666298,331.50,NOV 16
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2016-12-14,200407,B O C LTD,4665950,338.50,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-07,200446,BARRY CARTER MOTOR PRODUCTS LTD,4665796,295.19,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,2016-12-14,204247,BERENDSEN UK LTD,4665542,553.64,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,201012,CROSSROADS TRUCK & BUS,4665361,238.79,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,201012,CROSSROADS TRUCK & BUS,4666571,583.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,201012,CROSSROADS TRUCK & BUS,4665360,730.30,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,201012,CROSSROADS TRUCK & BUS,4665010,1460.60,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-21,201012,CROSSROADS TRUCK & BUS,4665942,364.74,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201056,DENNIS EAGLE LTD,4666023,233.06,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,201056,DENNIS EAGLE LTD,4665267,329.93,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201056,DENNIS EAGLE LTD,4665954,406.53,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,201056,DENNIS EAGLE LTD,4665505,574.52,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,201056,DENNIS EAGLE LTD,4666025,626.35,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201056,DENNIS EAGLE LTD,4665717,766.04,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,201056,DENNIS EAGLE LTD,4664900,1484.08,ihmt
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201056,DENNIS EAGLE LTD,4666026,2061.94,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,201599,GIBSONS GARDEN MACHINERY LTD,4665395,233.17,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665908,409.68,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,112.74,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,112.74,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,86.70,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,340.08,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,56.81,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-28,201599,GIBSONS GARDEN MACHINERY LTD,4665907,191.14,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,222606,J D MACADAM & SON LIMITED,4665572,340.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,202796,MEND A HOSE HYDRAULICS LTD,4665087,332.89,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,202796,MEND A HOSE HYDRAULICS LTD,4664634,344.90,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,202796,MEND A HOSE HYDRAULICS LTD,4664464,348.16,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,202824,MIKE WILSON MOTORS,4666104,1908.49,BV16VHH
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,202831,MITCHELL DIESEL LTD,4664813,1189.24,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664361,178.46,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664361,178.46,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664361,178.46,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664361,178.47,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664364,375.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664364,375.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,203074,PROBRUSH,4664364,375.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,203403,QPS PLASTICS LTD,4666379,218.76,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-21,224546,RIX PETROLEUM (HULL) LIMITED,4665436,9055.13,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-14,224546,RIX PETROLEUM (HULL) LIMITED,4664951,9065.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-07,224546,RIX PETROLEUM (HULL) LIMITED,4664826,9179.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-28,224546,RIX PETROLEUM (HULL) LIMITED,4665866,9239.00,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4666000,43.80,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,216424,S & W SERVICES (YORKSHIRE) LTD,4665444,238.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4665998,238.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4665992,245.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4666000,39.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,216424,S & W SERVICES (YORKSHIRE) LTD,4665086,398.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4665996,398.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665489,55.62,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665489,55.62,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665491,87.60,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665491,197.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665491,196.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,216424,S & W SERVICES (YORKSHIRE) LTD,4664381,498.30,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,216424,S & W SERVICES (YORKSHIRE) LTD,4665000,534.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,216424,S & W SERVICES (YORKSHIRE) LTD,4665999,804.85,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4666000,173.00,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-14,216424,S & W SERVICES (YORKSHIRE) LTD,4665489,322.50,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-12-28,216424,S & W SERVICES (YORKSHIRE) LTD,4665991,499.70,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,204118,TERBERG MATEC UK,4664439,233.65,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,204118,TERBERG MATEC UK,4664879,260.90,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,204118,TERBERG MATEC UK,4665601,317.97,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-28,204118,TERBERG MATEC UK,4666534,381.23,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-14,204118,TERBERG MATEC UK,4664881,406.83,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-07,204118,TERBERG MATEC UK,4664438,1873.72,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-12-21,204118,TERBERG MATEC UK,4665560,5423.97,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,2016-12-28,218269,YAS (ENTERPRISES) LTD,4667092,1958.00,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Miscellaneous Expenditure,2016-12-14,217912,HEALTH AND SAFETY EXECUTIVE,4665170,1753.70,Mileage
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2016-12-28,200452,BAYDALE CONTROL SYSTEMS LTD,4666786,2365.00,Monthly CCTV Upgrade Maintenance for the period of December 16
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-12-07,218889,EFFECTIVE SECURITY SERVICES LTD,4665875,283.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-12-14,218889,EFFECTIVE SECURITY SERVICES LTD,4666353,283.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-12-21,218889,EFFECTIVE SECURITY SERVICES LTD,4666733,283.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2016-12-14,203327,PMD MAGNETICS,4665275,104.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2016-12-14,203327,PMD MAGNETICS,4665275,104.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2016-12-14,203327,PMD MAGNETICS,4665275,73.10,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2016-12-14,203327,PMD MAGNETICS,4665275,35.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-12-21,204675,WALTER HARTLEY LTD,4665524,2840.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Software Purchases Wiring etc,2016-12-07,201592,GEOTECHNICAL INSTRUMENTS (UK) LTD,4665850,570.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2016-12-12,208465,NORTHUMBRIAN WATER LIMITED (NWL),4666128,2135.77,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2016-12-21,200164,ACORN LIGHTING SERVICES,4666549,350.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2016-12-28,215590,LITE LTD,4667107,2800.00,STARBECK GALA LIGHTS
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2016-12-12,203267,PATELEY BRIDGE TOWN COUNCIL,4664965,1000.00,Pateley Br Christmas Lights 201617 Match payment
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2016-12-28,225644,THE FESTIVE LIGHTING COMPANY LTD,4666066,771.84,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2016-12-21,225644,THE FESTIVE LIGHTING COMPANY LTD,4665722,36266.75,
Harrogate Borough Council,Premises,R,Community,Highways,Pay & Display Parking Machines,2016-12-21,219386,PARKEON LTD,4665514,260.00,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Equipment,2016-12-19,219386,PARKEON LTD,4665168,775.00,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Equipment,2016-12-14,219386,PARKEON LTD,4664926,3950.50,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Credit Card Services,2016-12-21,219386,PARKEON LTD,4665296,1092.00,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2016-12-21,219788,ARGYLL GUEST HOUSE,4666849,580.00,
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2016-12-07,223209,ECLIPSE PROPERTIES LIMITED,4665957,1644.30,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2016-12-07,223209,ECLIPSE PROPERTIES LIMITED,4665958,1644.30,REDACTED - PERSONAL DATA
