Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,620.01,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,60.11,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,114.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,77.49,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,232.55,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,"1,019.40",
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,406.53,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,491.69,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,391.6,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,424.59,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,391.24,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,148.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,406.6,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,146.16,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,269.65,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,203.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,107.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,430.42,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,480.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,87.62,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,475.23,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,586.86,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,32.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,154.98,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,239.56,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,7.15,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,35.04,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,66.33,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,68.02,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,930.01,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,28.15,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,27/07/2016,ATS EUROMASTER LTD,4656738,189.65,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,27/07/2016,AUTOKONTROL LTD,4656468,390,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,20/07/2016,BARRY CARTER MOTOR PRODUCTS LTD,4656452,302.44,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,20/07/2016,BERENDSEN UK LTD,4656849,540.64,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,CHATFIELDS OF LEEDS,4655709,295,
