Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687191,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687191,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687189,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687189,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4689134,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4689134,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687190,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687190,19,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-12-18,ODEON CINEMAS LTD,4688651,4250.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-12-27,PARKEON LTD,4688398,836,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-12-27,PARKEON LTD,4688398,506,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-12-27,PARKEON LTD,4688398,25,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-12-27,PARKEON LTD,4688016,616,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-12-27,PARKEON LTD,4688350,1092.00,Services for Parking Equipment
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-12-06,SCHEIDT & BACHMANN (UK) LTD,4687457,2772.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-04,AEBI SCHMIDT UK LTD,4687731,347.34,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,AEBI SCHMIDT UK LTD,4687728,509.11,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-04,AEBI SCHMIDT UK LTD,4687730,511.44,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,101.97,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,87.38,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,85.66,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2017-12-27,ATS EUROMASTER LTD,4688419,255.02,GOODS AND SERVICES
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-12-06,BARRY CARTER MOTOR PRODUCTS LTD,4688160,216.24,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-12-20,BARRY CARTER MOTOR PRODUCTS LTD,4688207,236.87,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,CROSSROADS TRUCK & BUS,4688022,315,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-11,DENNIS EAGLE LTD,4688292,238.66,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,DENNIS EAGLE LTD,4687068,261.74,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,DENNIS EAGLE LTD,4687068,141.57,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,DENNIS EAGLE LTD,4688515,520.78,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,DENNIS EAGLE LTD,4687067,621.2,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,DENNIS EAGLE LTD,4687695,746.49,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,DENNIS EAGLE LTD,4687964,1756.49,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-20,DENNIS EAGLE LTD,4687467,212.72,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2017-12-18,DIRECT TYRE MANAGEMENT LTD,4688912,3593.97,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,EVANS HALSHAW DAF LEEDS,4687947,396,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-13,FUCHS LUBRICANTS (UK) PLC,4688010,600.73,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,GIBSONS GARDEN MACHINERY LTD,4687081,177.13,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,GIBSONS GARDEN MACHINERY LTD,4687081,68.42,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,GIBSONS GARDEN MACHINERY LTD,4688599,419.49,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-13,NORTHERN RADIATORS LTD,4687103,599,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,PROBRUSH,4687928,217.61,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,PROBRUSH,4687928,217.61,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,PROBRUSH,4687928,217.62,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,PROBRUSH,4687928,217.61,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-27,RIX PETROLEUM (HULL) LIMITED,4688147,327.78,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-06,RIX PETROLEUM (HULL) LIMITED,4686680,532.27,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-13,RIX PETROLEUM (HULL) LIMITED,4687300,694.24,Kero
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-20,RIX PETROLEUM (HULL) LIMITED,4687802,1002.90,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-20,RIX PETROLEUM (HULL) LIMITED,4687645,9796.83,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-06,RIX PETROLEUM (HULL) LIMITED,4686681,9961.91,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-27,RIX PETROLEUM (HULL) LIMITED,4688148,10727.04,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-12-13,RIX PETROLEUM (HULL) LIMITED,4687301,11306.44,Diesel EN590
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,RUSSELLS (KIRKBYMOORSIDE) LTD,4688835,344.62,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-13,RUSSELLS (KIRKBYMOORSIDE) LTD,4687219,660.86,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-06,S & W SERVICES (YORKSHIRE) LTD,4687112,525,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,TERBERG MATEC UK,4688602,390.5,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,TERBERG MATEC UK,4687981,467.11,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-20,TERBERG MATEC UK,4687630,865.6,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-13,TERBERG MATEC UK,4687119,986.35,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-13,TERBERG MATEC UK,4687403,3108.72,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-12-27,THE AUTOGLAZIERS,4688598,265,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,2017-12-18,HARPER AGGREGATES LTD,4688695,437.14,GRIT SAND
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,2017-12-13,WEL MEDICAL LTD,4687150,872.45,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Other Supplies & Services,2017-12-13,HARROGATE BUSINESS PRINT & COMMUNICATIONS LTD,4688367,290,
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2017-12-27,BAYDALE CONTROL SYSTEMS LTD,4689268,2365.00,Monthly CCTV Upgrade Maintenance for the period of December 2017
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2017-12-04,THE NIDDERDALE PLUS PARTNERSHIP,4688048,500,Safer Nidderdale Project Grant 201718
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2017-12-27,NORTHUMBRIAN WATER LIMITED (NWL),4688629,1884.18,Environmental Protection
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4689120,1316.01,credit trans 4680422
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4689118,1211.99,credit trans 4680423
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4689121,914.54,credit trans 4687975
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4687974,842.23,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4687975,914.54,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2017-12-27,NPOWER NORTHERN LTD,4689122,4355.57,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2017-12-20,THE STAGE BUS,4688377,300,685 Harrogate Christmas Lights 2017
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2017-12-06,THE STAGE BUS,4688234,1946.00,
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,15.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,29.83,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,15.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,29.85,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,15.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,15.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,29.83,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,29.83,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,14.7,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,14.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,14.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,14.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,14.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687188,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687188,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687191,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687191,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687189,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687189,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4689134,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4689134,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687190,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687190,9.5,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-12-06,ARGYLL GUEST HOUSE,4687955,330,Accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-12-04,ARGYLL GUEST HOUSE,4687954,938,Accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-12-18,CRAIG MARSHALL,4689039,320,Bond and Rent in advance
