Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055542,1,202104,Barclaycard - Global Commercial Payments,302.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055543,1,202104,Barclaycard - Global Commercial Payments,172.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055544,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055545,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
Schools,Transport,Contract Hire,200055080,1,202104,Barclaycard - Global Commercial Payments,75.00,2021-07-09
"Children, Adults and Families",Transport,Public Transport and Taxi Fares,200054640,1,202104,Barclaycard - Global Commercial Payments,11.00,2021-07-09
"Children, Adults and Families",Transport,Public Transport and Taxi Fares,200055285,1,202104,Barclaycard - Global Commercial Payments,40.00,2021-07-09
"Children, Adults and Families",Transport,Public Transport and Taxi Fares,200055286,1,202104,Barclaycard - Global Commercial Payments,40.00,2021-07-09
Schools,Transport,Public Transport and Taxi Fares,200055815,1,202104,Barclaycard - Global Commercial Payments,20.00,2021-07-15
Schools,Transport,Public Transport and Taxi Fares,200056037,1,202104,Barclaycard - Global Commercial Payments,18.00,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200055053,1,202104,Barclaycard - Global Commercial Payments,2.17,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200054998,1,202104,Barclaycard - Global Commercial Payments,1.33,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200055331,1,202104,Barclaycard - Global Commercial Payments,1.33,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200055332,1,202104,Barclaycard - Global Commercial Payments,3.33,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053798,1,202104,Barclaycard - Global Commercial Payments,119.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054584,1,202104,Barclaycard - Global Commercial Payments,-233.33,2021-07-09
Schools,Supplies and Services,"Furn, Equip & Mats",200056064,1,202104,Barclaycard - Global Commercial Payments,17.47,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056117,1,202104,Barclaycard - Global Commercial Payments,6.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054926,1,202104,Barclaycard - Global Commercial Payments,47.94,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054927,1,202104,Barclaycard - Global Commercial Payments,39.95,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055068,1,202104,Barclaycard - Global Commercial Payments,22.10,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055119,1,202104,Barclaycard - Global Commercial Payments,0.69,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055144,1,202104,Barclaycard - Global Commercial Payments,95.88,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055341,1,202104,Barclaycard - Global Commercial Payments,6.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055405,1,202104,Barclaycard - Global Commercial Payments,19.60,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053409,1,202104,Barclaycard - Global Commercial Payments,40.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053683,1,202104,Barclaycard - Global Commercial Payments,19.20,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053634,1,202104,Barclaycard - Global Commercial Payments,249.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054283,1,202104,Barclaycard - Global Commercial Payments,61.62,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054915,1,202104,Barclaycard - Global Commercial Payments,116.67,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055017,1,202104,Barclaycard - Global Commercial Payments,32.67,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055321,1,202104,Barclaycard - Global Commercial Payments,25.98,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054890,1,202104,Barclaycard - Global Commercial Payments,8.33,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054892,1,202104,Barclaycard - Global Commercial Payments,19.17,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054893,1,202104,Barclaycard - Global Commercial Payments,271.58,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055110,1,202104,Barclaycard - Global Commercial Payments,7.50,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055734,1,202104,Barclaycard - Global Commercial Payments,28.33,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056081,1,202104,Barclaycard - Global Commercial Payments,34.15,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056220,1,202104,Barclaycard - Global Commercial Payments,125.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056221,1,202104,Barclaycard - Global Commercial Payments,-100.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053429,1,202104,Barclaycard - Global Commercial Payments,19.92,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053854,1,202104,Barclaycard - Global Commercial Payments,85.38,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053855,1,202104,Barclaycard - Global Commercial Payments,130.39,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054251,1,202104,Barclaycard - Global Commercial Payments,8.97,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054479,1,202104,Barclaycard - Global Commercial Payments,28.55,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054603,1,202104,Barclaycard - Global Commercial Payments,3.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055135,1,202104,Barclaycard - Global Commercial Payments,130.05,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055175,1,202104,Barclaycard - Global Commercial Payments,37.10,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055657,1,202104,Barclaycard - Global Commercial Payments,239.94,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055658,1,202104,Barclaycard - Global Commercial Payments,9.89,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055833,1,202104,Barclaycard - Global Commercial Payments,118.56,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056185,1,202104,Barclaycard - Global Commercial Payments,38.08,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056186,1,202104,Barclaycard - Global Commercial Payments,5.65,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055325,1,202104,Barclaycard - Global Commercial Payments,22.68,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055669,1,202104,Barclaycard - Global Commercial Payments,54.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055629,1,202104,Barclaycard - Global Commercial Payments,53.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200052099,1,202104,Barclaycard - Global Commercial Payments,65.62,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200052312,1,202104,Barclaycard - Global Commercial Payments,112.50,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200052437,1,202104,Barclaycard - Global Commercial Payments,95.18,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200052645,1,202104,Barclaycard - Global Commercial Payments,9.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200052773,1,202104,Barclaycard - Global Commercial Payments,24.97,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053200,1,202104,Barclaycard - Global Commercial Payments,20.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053835,1,202104,Barclaycard - Global Commercial Payments,10.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053836,1,202104,Barclaycard - Global Commercial Payments,9.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054042,1,202104,Barclaycard - Global Commercial Payments,16.03,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054043,1,202104,Barclaycard - Global Commercial Payments,25.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054440,1,202104,Barclaycard - Global Commercial Payments,60.97,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054497,1,202104,Barclaycard - Global Commercial Payments,25.89,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054959,1,202104,Barclaycard - Global Commercial Payments,148.50,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054960,1,202104,Barclaycard - Global Commercial Payments,50.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054961,1,202104,Barclaycard - Global Commercial Payments,20.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055019,1,202104,Barclaycard - Global Commercial Payments,248.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055020,1,202104,Barclaycard - Global Commercial Payments,2.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055097,1,202104,Barclaycard - Global Commercial Payments,14.13,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055266,1,202104,Barclaycard - Global Commercial Payments,273.94,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055330,1,202104,Barclaycard - Global Commercial Payments,20.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053343,1,202104,Barclaycard - Global Commercial Payments,199.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053456,1,202104,Barclaycard - Global Commercial Payments,12.96,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053526,1,202104,Barclaycard - Global Commercial Payments,19.90,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053527,1,202104,Barclaycard - Global Commercial Payments,12.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053590,1,202104,Barclaycard - Global Commercial Payments,25.50,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053659,1,202104,Barclaycard - Global Commercial Payments,11.77,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053740,1,202104,Barclaycard - Global Commercial Payments,339.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053810,1,202104,Barclaycard - Global Commercial Payments,11.98,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054153,1,202104,Barclaycard - Global Commercial Payments,5.56,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054314,1,202104,Barclaycard - Global Commercial Payments,50.43,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054527,1,202104,Barclaycard - Global Commercial Payments,81.42,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054649,1,202104,Barclaycard - Global Commercial Payments,17.96,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055076,1,202104,Barclaycard - Global Commercial Payments,10.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054107,1,202104,Barclaycard - Global Commercial Payments,12.98,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054108,1,202104,Barclaycard - Global Commercial Payments,14.98,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054277,1,202104,Barclaycard - Global Commercial Payments,5.65,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054493,1,202104,Barclaycard - Global Commercial Payments,38.32,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054574,1,202104,Barclaycard - Global Commercial Payments,-38.32,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054952,1,202104,Barclaycard - Global Commercial Payments,4.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055259,1,202104,Barclaycard - Global Commercial Payments,-69.99,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200056068,1,202104,Barclaycard - Global Commercial Payments,3.13,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055192,1,202104,Barclaycard - Global Commercial Payments,29.78,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055193,1,202104,Barclaycard - Global Commercial Payments,39.95,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200054969,1,202104,Barclaycard - Global Commercial Payments,39.90,2021-07-09
