,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3081935,598,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3084040,1055.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3085901,767.08,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3085774,732.32,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077584,736.41,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3085497,1691.56,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3079134,1687.70,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3079134,872.64,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3083034,3231.31,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3083034,662.2,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3084011,2237.75,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3085774,690.36,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3084463,2668.20,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3084463,1192.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3084943,1454.97,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3084943,515,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3086838,1538.13,Signage
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3086838,598,Signage
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3086089,596.81,Ground Maintenance
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3086464,1233.00,Recruitment Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NORTHUMBRIAN ROADS LTD,3084944,34348.23,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NORTHUMBRIAN ROADS LTD,3084945,80672.79,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NPOWER LIMITED,0,760.54,Electricity
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NPOWER NORTHERN LTD,0,1400.00,Electricity
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NPOWER NORTHERN LTD,0,38279.26,Electricity
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1604.35,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,715.14,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1491.19,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,707.57,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,4135.78,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,842.55,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,785.79,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,2398.37,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,3135.40,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,RENNYCO LTD,3085273,1000.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,RIDER INDUSTRIAL & SPECIALIST CLEANING,3086816,1176.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,RIDER INDUSTRIAL & SPECIALIST CLEANING,3086816,1176.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,829.42,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,812.52,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1066.42,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1081.72,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,772.82,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1280.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1405.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1220.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1280.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1405.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,909.8,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),3085889,3870.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SHERIFF TECHNOLOGIES LTD,3079919,1990.00,Routine Maintenance
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SMITH CREATIVE COMMUNICATIONS LIMITED,3086243,8189.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SPACE ARCHITECTURE (EUROPE) LTD,3086892,949.78,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SPACE ARCHITECTURE (EUROPE) LTD,3086499,1274.38,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SPACE ARCHITECTURE (EUROPE) LTD,3086500,2670.00,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SYMMONS MADGE ASSOCIATES LTD,3086109,1000.00,Employee Training Course Costs
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,549.9,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,0,552,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,768,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,512,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,702.8,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,1219.20,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,518.88,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,879.06,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,846.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,1219.92,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,965.52,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,725.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,795.6,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,530.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,575.7,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,768,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,512,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,632.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,795.6,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,530.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,607.2,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,573.3,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,845.6,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,530.4,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,549.9,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,570.8,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,784,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,1021.50,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,646,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,549.9,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,672,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,633.3,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,768,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3086465,512,Direct Charges - Contractors
