Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3083027,2616.9,Materials
2016-06,Economic Growth,Transport & Capital Projects,AT WAGGOTT HAULAGE,3081946,9477.5,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,BUILDING SOFTWARE LTD,3082566,10450,Traffic Management
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,525.6,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,505.85,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,997.69,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,625.2,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,910.47,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DE-POEL,0,664.84,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,DIVA CREATIVE LIMITED,3082446,3585,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,EXTERIOR LIGHTING SOLUTIONS LTD,3082276,3684,Materials
2016-06,Economic Growth,Transport & Capital Projects,EXTERIOR LIGHTING SOLUTIONS LTD,3080347,1863.05,Materials
2016-06,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3079386,1967.7,Plant Hire
2016-06,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3078136,789.94,Equipment
2016-06,Economic Growth,Transport & Capital Projects,HARTLEPOOL BOROUGH COUNCIL,3075747,700.86,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,546.65,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1081.71,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1069.83,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,709.55,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1086.52,Agency Staff Costs - Non Teaching
2016-06,Economic Growth,Transport & Capital Projects,HIPPO CREATIVE SOLUTIONS LTD,3082718,9504,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,HIPPO CREATIVE SOLUTIONS LTD,3080311,600,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,JOBLING PURSER,3083318,654.1,Materials
2016-06,Economic Growth,Transport & Capital Projects,K C PLANT HIRE,3083484,805,Equipment
2016-06,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,1480,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,840,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,1200,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3072551,47433.16,Materials
2016-06,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,12052,Materials
2016-06,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,18760,Materials
2016-06,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,4400,Materials
2016-06,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,1188,Materials
2016-06,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3065905,520,Plant Hire
2016-06,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3065905,520,Plant Hire
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,1358.3,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077584,1878.78,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,4340.4,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,2100.56,Materials
