,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2546.35,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,983.36,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,615.85,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,9863.01,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,2908.09,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,2052.54,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,509.83,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,622.65,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,10804.16,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,2844.67,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1237.28,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1120.79,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3413.11,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1204.40,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,651.97,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,513.26,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1079.45,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,532.71,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,909.27,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,DARLINGTON SCAFFOLDING LTD,3081814,664,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3084234,704,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,EEMITS COMMUNICATIONS LTD,3082760,1615.20,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRICAL MECHANICAL AND COOLING LTD,3082843,1063.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3081308,806.31,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3081309,3241.67,Ground Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3081309,648.33,Ground Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,HILL BASTIN INTERIORS LTD,3079770,532.8,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,HMCTS,3083237,2000.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,3067121,3750.00,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,JEWSON LTD,3082135,780,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,KENYON INTERNATIONAL EMERGENCY SERVICES,3083348,2039.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,LIBERTY SERVICES,3083503,560,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,LLOYDS BRITISH A DIVISION OF SPEEDY ASSET SERVICES LTD,3081561,680,Cyclical - Building Surveys
INSERTED DETAIL,,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3078222,644.5,Equipment R&M
INSERTED DETAIL,,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3068087,1476.42,Equipment R&M
INSERTED DETAIL,,Economic Growth,Regulatory Services,MOGO UK,3082726,1006.90,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1232.70,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NETWORK RAIL,3082671,2326.00,Rent Of Facilities
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2827.94,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3093.63,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,658.94,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,4939.85,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2776.64,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,14344.26,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,20345.33,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1158.97,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,3579.40,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,681.44,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1108.31,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1245.07,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,529.97,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1826.09,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1008.88,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1256.04,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3083412,3207.12,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,3083333,541.01,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,3076325,1850.00,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,3083482,2819.54,Cyclical-Lift Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,0,2764.26,Cyclical-Lift Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,PAY BY PHONE,3079576,903.19,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,PRONTAPRINT,3082672,562.75,Printing
INSERTED DETAIL,,Economic Growth,Regulatory Services,SHEERS LTD,3079352,1310.00,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,SHEERS LTD,3079404,1830.00,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,STM ENVIRONMENTAL LTD,3082702,1697.31,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,TEAM (EAA LTD),3083756,1587.72,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,THE CONCEPT GROUP,3082522,900,Repairs - Asbestos Removal
INSERTED DETAIL,,Economic Growth,Regulatory Services,VEOLIA ENVIRONMENTAL SERVICES,3080615,1390.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,WPS UNITED KINGDOM LTD,3079379,698,Equipment R&M
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,554.92,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,554.92,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,635.72,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,741.76,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,1333.80,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1610.40,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,536.8,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1610.40,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,671,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3083027,1711.05,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1180.96,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,2013.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3083027,2616.90,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AT WAGGOTT HAULAGE,3081946,9477.50,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BUILDING SOFTWARE LTD,3082566,10450.00,Traffic Management
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,525.6,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,505.85,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,558.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,997.69,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,829.54,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,625.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,910.47,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,672.4,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,664.84,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DIVA CREATIVE LIMITED,3082446,3585.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERIOR LIGHTING SOLUTIONS LTD,3082276,3684.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERIOR LIGHTING SOLUTIONS LTD,3080347,1863.05,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3079386,1967.70,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3078136,789.94,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HARTLEPOOL BOROUGH COUNCIL,3075747,700.86,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,546.65,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1081.71,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1069.83,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,709.55,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3082636,1086.52,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HIPPO CREATIVE SOLUTIONS LTD,3082718,9504.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HIPPO CREATIVE SOLUTIONS LTD,3080311,600,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,JOBLING PURSER,3083318,654.1,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,K C PLANT HIRE,3083484,805,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,1480.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,840,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,M H LAVERICK & PARTNERS,3071844,1200.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3072551,47433.16,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,12052.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,18760.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,4400.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,1188.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3065905,520,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3065905,520,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,1358.30,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077584,1878.78,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,4340.40,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,2100.56,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,596.8,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082714,2325.43,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082385,884.48,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3075921,784.18,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,788.6,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082214,1305.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082581,1476.97,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,615.23,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,1801.50,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,2823.12,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082385,3474.40,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3083913,6439.14,Signage
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3083913,2248.00,Signage
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3082910,655.38,Traffic Management
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3083011,1268.22,Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3082171,646.54,Traffic Management
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NPOWER,0,42206.36,Electricity
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NPOWER,0,1400.00,Electricity
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,NWA SOCIAL AND MARKET RESEARCH LIMITED,3081289,3700.00,Traffic Management
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PINDAR CREATIVE,3082110,868,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1441.01,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1177.94,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,2309.28,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,RENNYCO LTD,3081264,750,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,810.72,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1310.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1250.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1375.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1095.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1280.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,824.52,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1101.32,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1435.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,825.52,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,820.42,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1083.02,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,784.42,Other Supplies & Services
