Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
29/08/2014,7015199,32.32,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015199,39.81,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015199,71.99,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015210,340.32,TRADE UK T/A SCREWFIX DIRECT,316725,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015210,341.24,TRADE UK T/A SCREWFIX DIRECT,316725,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015171,8.32,TESCO STORES LTD,336585,Commissioning & Fair Access,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015171,2.00,TESCO STORES LTD,336585,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015174,1.63,POST OFFICE COUNTERS LIMITED,269949,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,18.POSTAGE
29/08/2014,7015174,1.83,POST OFFICE COUNTERS LIMITED,269949,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,18.POSTAGE
29/08/2014,7015199,4.10,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015199,17.99,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015199,191.97,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015040,10.18,TOOLSTATION LIMITED,386704,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015192,383.30,LORD HIRE CENTRE,012477,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.TOOLS & EQUIPMENT
29/08/2014,7015210,4.16,TRADE UK T/A SCREWFIX DIRECT,316725,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015210,29.62,TRADE UK T/A SCREWFIX DIRECT,316725,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015119,32.18,ASDA STORES LIMITED,306530,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015095,565.00,WINDMILL SPECIAL NEEDS,389972,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,11.EQUIPMENT
29/08/2014,7015107,29.17,BERGHAUS LTD,388035,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,13.EQUIPMENT
29/08/2014,7015148,75.00,NEXT PLC,338362,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015148,6.67,NEXT PLC,338362,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015148,11.67,NEXT PLC,338362,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015148,9.02,NEXT PLC,338362,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015148,48.32,NEXT PLC,338362,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015158,163.33,IKEA LTD,231453,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,10.OFFICE
29/08/2014,7015167,13.37,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,15.27,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,16.63,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,18.61,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,29.13,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,35.82,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,44.03,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,48.76,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,76.57,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,80.26,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,80.57,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,84.96,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,113.93,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,115.96,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,186.30,WM MORRISON SUPERMARKETS PLC,013562,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015190,26.00,MARKS & SPENCER PLC,013098,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015195,0.01,GREAT OUTDOOR SUPERSTORE,383131,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
29/08/2014,7015195,82.47,GREAT OUTDOOR SUPERSTORE,383131,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,11.WORKWEAR
29/08/2014,7015167,5.00,WM MORRISON SUPERMARKETS PLC,013562,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,7.99,WM MORRISON SUPERMARKETS PLC,013562,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015054,203.33,PI SWAG CO LIMITED,391395,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,05.EQUIPMENT
29/08/2014,7015083,18.72,ADOBE SYSTEMS DIRECT LIMITED,300531,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015119,60.67,ASDA STORES LIMITED,306530,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015132,27.60,TTF TYNE TEES FASTENERS,376227,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,02.BUILDING SERVICES
29/08/2014,7015154,1.09,FASTHOSTS INTERNET LIMITED,367002,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015154,1.09,FASTHOSTS INTERNET LIMITED,367002,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015154,1.09,FASTHOSTS INTERNET LIMITED,367002,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015154,1.09,FASTHOSTS INTERNET LIMITED,367002,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015154,1.43,FASTHOSTS INTERNET LIMITED,367002,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015167,48.77,WM MORRISON SUPERMARKETS PLC,013562,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,101.99,WM MORRISON SUPERMARKETS PLC,013562,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015190,12.00,MARKS & SPENCER PLC,013098,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015190,52.45,MARKS & SPENCER PLC,013098,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015199,7.20,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,06.STATIONERY
29/08/2014,7015199,4.92,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,06.STATIONERY
29/08/2014,7015199,34.15,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,06.STATIONERY
29/08/2014,7015199,143.31,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,06.STATIONERY
29/08/2014,7015199,143.32,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,06.STATIONERY
29/08/2014,7015070,-75.00,EDGE HILL ENTERPRISES LTD,380082,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.TRAINING
29/08/2014,7015070,58.33,EDGE HILL ENTERPRISES LTD,380082,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.TRAINING
29/08/2014,7015070,58.33,EDGE HILL ENTERPRISES LTD,380082,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.TRAINING
29/08/2014,7015070,75.00,EDGE HILL ENTERPRISES LTD,380082,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.TRAINING
29/08/2014,7015102,74.65,CLICK TRAVEL LIMITED,388377,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,18.TRAVEL
29/08/2014,7015165,54.58,BOOKPOINT LIMITED,002021,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,18.BOOKS & PUBLICATIONS
29/08/2014,7015051,325.00,HILLHEADS POULTRY FARM,315771,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015127,18.32,B & Q (205037),205037,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015127,117.42,B & Q (205037),205037,Environment & Leisure,Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015146,33.25,ANNE THOMAS WORKWEAR LTD,360415,Environment & Leisure,Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,11.WORKWEAR
29/08/2014,7015147,47.76,JTF WHOLESALE,368725,Environment & Leisure,Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,00.NON INFLUENCIBLE
29/08/2014,7015210,19.98,TRADE UK T/A SCREWFIX DIRECT,316725,Environment & Leisure,Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015127,97.85,B & Q (205037),205037,Environment & Leisure,Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015176,14.64,ISSUU PUBLISHING,383654,Environment & Leisure,Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.BOOKS & PUBLICATIONS
29/08/2014,7015067,7.18,RAC LIMITED,391382,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
29/08/2014,7015068,149.00,AA REVENUE SERVICES,391381,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,16.EVENTS & PROMOTIONS
29/08/2014,7015072,194.87,ZURICH INSURANCE COMPANY,227859,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,09.FINANCIAL SERVICES
29/08/2014,7015109,79.50,SUZY LAMPLUGH TRUS,387720,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,18.EQUIPMENT
29/08/2014,7015131,145.50,TV LICENSING,014515,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.TV/RADIO LICENSES
29/08/2014,7015157,10.00,NORTH TYNESIDE COUNCIL,102767,Adult Social Care,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,00.PUBLIC SECTOR
29/08/2014,7015157,10.00,NORTH TYNESIDE COUNCIL,102767,Adult Social Care,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,00.PUBLIC SECTOR
29/08/2014,7015157,10.00,NORTH TYNESIDE COUNCIL,102767,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
29/08/2014,7015157,20.00,NORTH TYNESIDE COUNCIL,102767,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
29/08/2014,7015157,20.00,NORTH TYNESIDE COUNCIL,102767,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
29/08/2014,7015201,308.94,ARGOS,253446,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,18.EQUIPMENT
29/08/2014,7015167,26.44,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,88.30,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015119,25.53,ASDA STORES LIMITED,306530,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,0.01,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,4.43,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,18.62,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,22.02,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,27.26,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,35.48,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Premises-Related Expenditure,502,Cleaning and Domestic Supplies,5012,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,5.00,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,6.55,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,10.99,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,11.66,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,26.97,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,71.15,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,87.83,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015167,88.49,WM MORRISON SUPERMARKETS PLC,013562,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
