,,Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,,Capital/Revenue
,,2019-05-29,7007301,13.98,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,1.49,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,5.49,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,1.99,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,6.99,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,5.49,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,27.96,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,6.99,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,1.49,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,78.09,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007301,1.49,FASTHOSTS INTERNET LIMITED,367002,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,,Revenue
,,2019-05-29,7007302,10.00,TIMPSON LTD,381002,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007303,1.66,CARD FACTORY,380991,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007304,0.01,POUNDLAND LTD,383123,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007304,15.13,POUNDLAND LTD,383123,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007305,291.67,ST MARY'S LIGHTHOUSE,383118,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,,Revenue
,,2019-05-29,7007306,30.00,TT2 LTD,377653,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,,Revenue
,,2019-05-29,7007306,16.67,TT2 LTD,377653,Law & Governance,Central Services,102,Supplies and Services,504,Expenses,5030,,Revenue
,,2019-05-29,7007306,150.00,TT2 LTD,377653,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Employees,501,Indirect Employee Expenses,5002,,Revenue
,,2019-05-29,7007307,4.58,COSTA COFFEE,375193,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,11.58,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,9.40,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,9.99,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,29.95,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,6.66,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,66.53,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,9.98,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,27.21,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,239.83,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,7.98,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,12.75,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,18.69,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,6.66,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,23.67,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,4.12,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,4.98,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,133.33,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,81.63,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,43.33,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,38.97,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,46.65,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,61.36,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,17.15,AMAZON GENERAL PAYMENTS,375398,Corporate Strategy,Central Services,102,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,15.74,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,17.66,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,44.98,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,6.66,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,41.65,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,10.43,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,7.42,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,5.38,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,6.66,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,8.99,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,33.17,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,20.39,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,25.82,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,5.40,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,19.02,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,16.66,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,76.23,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,20.99,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,19.99,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,43.71,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,10.40,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,1.32,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,9.96,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,69.58,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,50.00,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,49.96,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,3.32,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,4.05,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,19.83,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,8.32,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,16.63,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,8.68,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,11.21,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,59.45,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Planning Services,110,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,83.33,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,2.46,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,17.18,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,7.99,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,31.45,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,3.35,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,9.16,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,4.16,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.02,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,19.72,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Planning Services,110,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Planning Services,110,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,8.32,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,45.33,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,33.12,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,18.67,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,6.64,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,4.99,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,1.00,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,47.22,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,10.79,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,8.80,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,48.33,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,9.75,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,7.07,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,0.65,AMAZON GENERAL PAYMENTS,375398,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007308,9.95,AMAZON GENERAL PAYMENTS,375398,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,133.33,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,0.01,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007308,17.17,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,,Revenue
,,2019-05-29,7007308,87.08,AMAZON GENERAL PAYMENTS,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
