Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
MATRIX SCM LTD,2015-01-21,571.62,Business Services,Agency
MATRIX SCM LTD,2015-01-07,830.21,Business Services,Agency
MATRIX SCM LTD,2015-04-01,933.30,Business Services,Agency
MATRIX SCM LTD,2015-03-18,789.38,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.94,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-28,802.99,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-07,809.80,Business Services,Agency
MATRIX SCM LTD,2015-02-25,789.38,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.94,Business Services,Agency
MATRIX SCM LTD,2015-01-07,680.50,Business Services,Agency
MATRIX SCM LTD,2015-04-01,517.18,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1013.95,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,993.53,Business Services,Agency
MATRIX SCM LTD,2015-02-25,789.38,Business Services,Agency
MATRIX SCM LTD,2015-03-18,734.94,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-21,816.60,Business Services,Agency
MATRIX SCM LTD,2015-03-18,789.38,Business Services,Agency
MATRIX SCM LTD,2015-03-25,785.29,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-07,802.99,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,802.99,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.94,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.94,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.95,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-03-25,984.94,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.95,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,775.77,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.95,Business Services,Agency
MATRIX SCM LTD,2015-03-11,804.83,Business Services,Agency
MATRIX SCM LTD,2015-02-11,785.66,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1061.58,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-04-01,804.83,Business Services,Agency
MATRIX SCM LTD,2015-03-11,613.20,Business Services,Agency
MATRIX SCM LTD,2015-03-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,779.28,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,798.44,Business Services,Agency
MATRIX SCM LTD,2015-01-28,816.60,Business Services,Agency
MATRIX SCM LTD,2015-04-01,798.44,Business Services,Agency
MATRIX SCM LTD,2015-01-14,945.36,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,625.98,Business Services,Agency
MATRIX SCM LTD,2015-04-01,598.84,Business Services,Agency
MATRIX SCM LTD,2015-01-28,804.83,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,612.45,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-07,802.99,Business Services,Agency
MATRIX SCM LTD,2015-01-07,613.20,Business Services,Agency
MATRIX SCM LTD,2015-03-18,619.59,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-04-01,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1012.46,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,969.68,Business Services,Agency
MATRIX SCM LTD,2015-02-11,598.84,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-04-01,1091.42,Business Services,Agency
MATRIX SCM LTD,2015-03-18,798.56,Business Services,Agency
MATRIX SCM LTD,2015-03-25,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-18,741.52,Business Services,Agency
MATRIX SCM LTD,2015-01-14,841.34,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1069.50,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-11,816.60,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1126.54,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-04,998.20,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-03-04,798.56,Business Services,Agency
MATRIX SCM LTD,2015-03-11,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,798.56,Business Services,Agency
MATRIX SCM LTD,2015-03-04,998.20,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.94,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.94,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1026.72,Business Services,Agency
MATRIX SCM LTD,2015-02-25,855.60,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1055.24,Business Services,Agency
MATRIX SCM LTD,2015-02-11,969.68,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.94,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-03-03,516.75,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-03-03,797.40,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-03-03,727.05,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-03-04,787.55,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-02-20,733.35,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-01-28,771.75,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-02-19,771.75,Business Services,Agency
PIERS MEADOWS RECRUITMENT LTD,2015-01-21,1281.96,Business Services,Agency
CAPITA RESOURCING LTD,2015-02-12,10000.00,Business Services,Agency
CAPITA RESOURCING LTD,2015-01-16,10800.00,Business Services,Agency
NORTHGATE INFORMATION SOLUTIONS UK LTD,2015-03-02,18520.48,ICT,ICT - Software
NORTHGATE INFORMATION SOLUTIONS UK LTD,2015-01-19,13684.73,ICT,ICT - Software
NORTHGATE INFORMATION SOLUTIONS UK LTD,2015-01-07,13620.82,ICT,ICT - Software
NORTHGATE INFORMATION SOLUTIONS UK LTD,2015-03-20,22144.41,ICT,ICT - Software
NORTHGATE INFORMATION SOLUTIONS UK LTD,2015-03-13,3704.54,ICT,ICT - Software
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-20,1004.12,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-20,1255.15,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-20,1255.15,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-20,1064.95,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-12,502.06,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-11,1255.15,Business Services,Agency
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMI,2015-03-30,851.96,Business Services,Agency
MATRIX SCM LTD,2015-03-04,543.00,Business Services,Agency
MATRIX SCM LTD,2015-02-11,543.00,Business Services,Agency
MATRIX SCM LTD,2015-02-04,524.90,Business Services,Agency
MATRIX SCM LTD,2015-02-18,543.00,Business Services,Agency
MATRIX SCM LTD,2015-03-11,540.00,Business Services,Agency
MATRIX SCM LTD,2015-01-21,543.00,Business Services,Agency
MATRIX SCM LTD,2015-03-25,540.00,Business Services,Agency
MATRIX SCM LTD,2015-04-01,540.00,Business Services,Agency
MATRIX SCM LTD,2015-03-18,670.52,Business Services,Agency
MATRIX SCM LTD,2015-04-01,712.95,Business Services,Agency
MATRIX SCM LTD,2015-04-01,789.34,Business Services,Agency
MATRIX SCM LTD,2015-03-11,830.25,Business Services,Agency
MATRIX SCM LTD,2015-03-18,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-07,527.58,Business Services,Agency
MATRIX SCM LTD,2015-01-07,527.58,Business Services,Agency
MATRIX SCM LTD,2015-03-18,830.25,Business Services,Agency
MATRIX SCM LTD,2015-02-11,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-11,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-25,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-18,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-14,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-11,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-04,801.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,834.76,Business Services,Agency
MATRIX SCM LTD,2015-02-11,834.76,Business Services,Agency
MATRIX SCM LTD,2015-02-11,834.76,Business Services,Agency
MATRIX SCM LTD,2015-01-21,834.76,Business Services,Agency
MATRIX SCM LTD,2015-04-01,992.25,Business Services,Agency
MATRIX SCM LTD,2015-02-18,600.97,Business Services,Agency
MATRIX SCM LTD,2015-03-25,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-07,549.72,Business Services,Agency
MATRIX SCM LTD,2015-02-04,834.76,Business Services,Agency
MATRIX SCM LTD,2015-01-28,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-25,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-11,830.25,Business Services,Agency
MATRIX SCM LTD,2015-01-28,834.76,Business Services,Agency
MATRIX SCM LTD,2015-01-14,916.20,Business Services,Agency
MATRIX SCM LTD,2015-04-01,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-28,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-04,834.76,Business Services,Agency
MATRIX SCM LTD,2015-03-25,830.25,Business Services,Agency
MATRIX SCM LTD,2015-01-07,549.72,Business Services,Agency
MATRIX SCM LTD,2015-03-18,830.25,Business Services,Agency
MATRIX SCM LTD,2015-01-28,834.76,Business Services,Agency
MATRIX SCM LTD,2015-02-04,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-04,834.76,Business Services,Agency
MATRIX SCM LTD,2015-02-18,879.30,Business Services,Agency
MATRIX SCM LTD,2015-03-25,830.25,Business Services,Agency
MATRIX SCM LTD,2015-01-21,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-25,506.08,Business Services,Agency
MATRIX SCM LTD,2015-03-11,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-18,997.64,Business Services,Agency
MATRIX SCM LTD,2015-04-01,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-25,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-21,895.84,Business Services,Agency
MATRIX SCM LTD,2015-01-21,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-25,997.64,Business Services,Agency
MATRIX SCM LTD,2015-01-14,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-04,879.30,Business Services,Agency
MATRIX SCM LTD,2015-02-18,834.76,Business Services,Agency
MATRIX SCM LTD,2015-04-01,830.25,Business Services,Agency
MATRIX SCM LTD,2015-03-11,703.44,Business Services,Agency
MATRIX SCM LTD,2015-01-14,834.76,Business Services,Agency
MATRIX SCM LTD,2015-03-04,834.76,Business Services,Agency
MATRIX SCM LTD,2015-03-18,879.30,Business Services,Agency
MATRIX SCM LTD,2015-01-14,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-18,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-04,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-28,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-11,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-25,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-04,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-11,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-07,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-21,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-25,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-04,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-07,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-04,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-14,601.26,Business Services,Agency
MATRIX SCM LTD,2015-03-18,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-18,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-21,601.26,Business Services,Agency
MATRIX SCM LTD,2015-01-28,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-11,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-11,601.26,Business Services,Agency
MATRIX SCM LTD,2015-02-18,601.26,Business Services,Agency
HEWITT OCCUPATIONAL SERVICES LTD,2015-02-05,2652.00,Business Services,Agency
HEWITT OCCUPATIONAL SERVICES LTD,2015-01-19,2295.00,Business Services,Agency
HEWITT OCCUPATIONAL SERVICES LTD,2015-01-19,1020.00,Business Services,Agency
HEWITT OCCUPATIONAL SERVICES LTD,2015-03-05,2550.00,Business Services,Agency
ASSET HEALTH SOLUTIONS,2015-01-30,2277.60,Business Services,Agency
ASSET HEALTH SOLUTIONS,2015-02-05,2322.60,Business Services,Agency
ASSET HEALTH SOLUTIONS,2015-01-12,1981.60,Business Services,Agency
ASSET HEALTH SOLUTIONS,2015-03-19,1783.20,Business Services,Agency
DETAILS REDACTED,2015-02-11,1110.00,Business Services,Agency
DETAILS REDACTED,2015-02-11,1110.00,Business Services,Agency
DETAILS REDACTED,2015-03-04,1110.00,Business Services,Agency
DETAILS REDACTED,2015-03-04,1110.00,Business Services,Agency
DETAILS REDACTED,2015-01-14,900.00,Business Services,Agency
DETAILS REDACTED,2015-01-21,1110.00,Business Services,Agency
DETAILS REDACTED,2015-02-02,1110.00,Business Services,Agency
DETAILS REDACTED,2015-02-11,1110.00,Business Services,Agency
DETAILS REDACTED,2015-03-20,1110.00,Business Services,Agency
DETAILS REDACTED,2015-03-20,1110.00,Business Services,Agency
DETAILS REDACTED,2015-01-12,1110.00,Business Services,Agency
CHEVIOT RECRUITMENT,2015-03-19,584.25,Business Services,Agency
CHEVIOT RECRUITMENT,2015-01-30,856.90,Business Services,Agency
