Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-23,NEWCASTLE UPON TYNE YMCA,4785525,Revenue,5466.78
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-16,NORTHERN ARCHITECTURE,4776615,Revenue,912.96
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-30,NORTHERN ARCHITECTURE,4792871,Revenue,912.96
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-30,RECYKE Y'BIKE,4792872,Revenue,1083.31
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-25,THE ANGELOU CENTRE,4789133,Revenue,740.82
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-25,THE ANGELOU CENTRE,4789134,Revenue,798.36
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,TRINITY CENTRE,4765794,Revenue,1479.02
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-16,WARMZONE,4776616,Revenue,1170.00
Adult and Culture,Adult Serv Learn Disab,2010-08-02,LA TAXIS,4762093,Revenue,1304.80
Adult and Culture,Adult Serv Learn Disab,2010-08-02,LA TAXIS,4762094,Revenue,912.80
Adult and Culture,Adult Serv Learn Disab,2010-08-04,LA TAXIS,4765591,Revenue,704.80
Adult and Culture,Adult Serv Learn Disab,2010-08-11,LA TAXIS,4772848,Revenue,734.80
Adult and Culture,Adult Serv Learn Disab,2010-08-04,NODA TAXIS LTD,4765694,Revenue,743.20
Adult and Culture,Adult Serv Learn Disab,2010-08-04,NODA TAXIS LTD,4765698,Revenue,679.80
Adult and Culture,Adult Serv Lewcock House,2010-08-02,N POWER NORTHERN LTD,4762945,Revenue,1220.22
Adult and Culture,Adult Serv Lewcock House,2010-08-24,THOMAS OWEN & SONS LTD,4779125,Revenue,638.21
Adult and Culture,Adult Serv Occ Therapy,2010-08-10,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,4771037,Revenue,758.10
Adult and Culture,Adult Serv Occ Therapy,2010-08-26,NORTH YORKSHIRE MOBILITYB & SAFETY,4787980,Revenue,1477.50
Adult and Culture,Adult Serv Phys Disab,2010-08-30,FIVE STAR SERVICES LTD,4792919,Revenue,1572.00
Adult and Culture,Adult Serv Phys Disab,2010-08-02,NEWCASTLE AMBULANCE SERVICE,4762075,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab,2010-08-02,NEWCASTLE AMBULANCE SERVICE,4762076,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab,2010-08-11,NEWCASTLE AMBULANCE SERVICE,4772843,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab,2010-08-30,NEWCASTLE AMBULANCE SERVICE,4792920,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab,2010-08-30,NEWCASTLE AMBULANCE SERVICE,4792921,Revenue,1474.00
Adult and Culture,Adult Serv Sens Supp,2010-08-26,ACTION FOR BLIND PEOPLE,4786206,Revenue,5922.88
Adult and Culture,Adult Serv Sens Supp,2010-08-12,CONNEVANS LTD,4762807,Revenue,735.95
Adult and Culture,Adult Serv Sens Supp,2010-08-02,NODA TAXIS LTD,4762113,Revenue,776.80
Adult and Culture,Adult Serv Sens Supp,2010-08-26,RNIB,4772672,Revenue,925.91
Adult and Culture,Adult Serv Sens Supp,2010-08-04,RNID SOUND ADVANTAGE,4764809,Revenue,1357.12
Adult and Culture,Adult Serv Welf,2010-08-17,N POWER NORTHERN LTD,4779712,Revenue,896.89
Adult and Culture,Adult Serv Westerhope,2010-08-12,THE KIRTON HEALTHCARE GROUP LTD,4745813,Revenue,2540.00
Adult and Culture,Adult Serv Westerhope,2010-08-26,THE KIRTON HEALTHCARE GROUP LTD,4764758,Revenue,3038.00
Adult and Culture,EEC Homeless,2010-08-23,THE LAUNDRY CO,4785928,Revenue,565.50
Adult and Culture,Heaton Manor AE,2010-08-26,OCN,4790595,Revenue,4170.00
Adult and Culture,Libraries/Galaxy Payments,2010-08-04,ASKEWS LIBRARY SERVICES LTD,4765807,Revenue,992.58
Adult and Culture,Libraries/Galaxy Payments,2010-08-30,ASKEWS LIBRARY SERVICES LTD,4792779,Revenue,753.11
Adult and Culture,Libraries/Galaxy Payments,2010-08-22,Redacted Personal Data,4781752,Revenue,501.63
