Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791472,Revenue,627.52
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762466,Revenue,2133.00
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777183,Revenue,1107.17
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762478,Revenue,780.98
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777194,Revenue,780.98
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791649,Revenue,780.98
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762494,Revenue,831.44
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777211,Revenue,831.44
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791667,Revenue,831.44
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762473,Revenue,2416.26
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777190,Revenue,1610.84
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791645,Revenue,1093.07
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776879,Revenue,521.09
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762339,Revenue,519.26
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777060,Revenue,519.26
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791565,Revenue,519.26
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776965,Revenue,850.06
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762327,Revenue,1779.88
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777048,Revenue,1779.88
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791553,Revenue,1779.88
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762230,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776983,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791488,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762227,Revenue,1298.86
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776980,Revenue,1298.86
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791485,Revenue,1298.86
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762549,Revenue,590.44
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777265,Revenue,590.44
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791719,Revenue,590.44
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762236,Revenue,1548.96
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776987,Revenue,1548.96
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791493,Revenue,1548.96
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762244,Revenue,2290.38
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776995,Revenue,2078.08
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791501,Revenue,1097.24
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762232,Revenue,1187.88
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776984,Revenue,1187.88
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791489,Revenue,1187.88
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762235,Revenue,2016.56
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791492,Revenue,933.32
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762254,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777005,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791510,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762472,Revenue,1434.58
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777189,Revenue,1051.66
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791644,Revenue,1051.66
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762218,Revenue,704.92
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776971,Revenue,852.96
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791476,Revenue,704.92
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762211,Revenue,750.00
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776963,Revenue,750.00
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791469,Revenue,750.00
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762222,Revenue,1187.88
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776975,Revenue,1187.88
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791480,Revenue,1103.04
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762248,Revenue,2333.55
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776999,Revenue,1781.82
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791505,Revenue,1825.26
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762197,Revenue,888.17
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776948,Revenue,704.92
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791455,Revenue,918.28
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791516,Revenue,927.57
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762421,Revenue,2659.54
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777139,Revenue,2206.38
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791745,Revenue,2206.38
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762263,Revenue,515.56
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777016,Revenue,515.56
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791521,Revenue,515.56
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762260,Revenue,764.60
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777013,Revenue,764.60
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791518,Revenue,764.60
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762469,Revenue,1733.98
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777186,Revenue,1733.98
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791640,Revenue,1733.98
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762479,Revenue,2482.45
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777195,Revenue,2336.63
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791650,Revenue,2003.78
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762251,Revenue,1484.43
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777002,Revenue,805.42
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791507,Revenue,805.42
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762250,Revenue,825.99
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777001,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791506,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776993,Revenue,2418.18
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791499,Revenue,1844.59
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762239,Revenue,687.77
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776990,Revenue,962.88
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791496,Revenue,627.14
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762309,Revenue,1409.84
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777030,Revenue,1409.84
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791540,Revenue,1009.14
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762223,Revenue,901.44
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4776976,Revenue,1051.66
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791481,Revenue,1283.64
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762259,Revenue,643.94
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777012,Revenue,618.94
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791517,Revenue,593.94
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762266,Revenue,1460.47
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777019,Revenue,1298.86
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791524,Revenue,1511.25
Childrens Services,Social Services - Carepay,2010-08-02,Redacted Personal Data,4762409,Revenue,2793.86
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777128,Revenue,2793.86
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791734,Revenue,2793.86
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777006,Revenue,836.83
Childrens Services,Social Services - Carepay,2010-08-16,Redacted Personal Data,4777010,Revenue,2371.90
Childrens Services,Social Services - Carepay,2010-08-30,Redacted Personal Data,4791515,Revenue,1509.38
Childrens Services,West Riverside S/Start,2010-08-09,ASKEWS LIBRARY SERVICES LTD,4769924,Revenue,628.43
Childrens Services,West Riverside S/Start,2010-08-01,BLUE KANGAROO,4737126,Revenue,1035.35
Childrens Services,West Riverside S/Start,2010-08-08,BLUE KANGAROO,4768545,Revenue,738.20
Childrens Services,West Riverside S/Start,2010-08-19,BNP PARIBAS REAL ESTATE,4768543,Revenue,584.61
Childrens Services,West Riverside S/Start,2010-08-23,BRITISH TELECOMMUNICATIONS PLC,4746176,Revenue,632.78
Childrens Services,West Riverside S/Start,2010-08-25,BUSTERS CHILDRENS ENTERTAINMENTS,4772885,Revenue,600.00
Childrens Services,West Riverside S/Start,2010-08-26,CHILDREN-NORTH EAST,4772586,Revenue,4231.45
Childrens Services,West Riverside S/Start,2010-08-08,FOOTSTEPS INTO ASHFIELD,4768552,Revenue,695.00
Childrens Services,West Riverside S/Start,2010-08-05,HEALTHWORKS NEWCASTLE,4754961,Revenue,10424.21
Childrens Services,West Riverside S/Start,2010-08-05,IKEA BUSINESS,4756595,Revenue,600.00
Childrens Services,West Riverside S/Start,2010-08-26,RIVERSIDE COMM. HEALTH PROJECT,4783182,Revenue,10000.00
Childrens Services,West Riverside S/Start,2010-08-03,SCOTSWOOD NATURAL COMMUNITY GARDEN,4764771,Revenue,600.00
Childrens Services,West Riverside S/Start,2010-08-16,THE ANGELOU CENTRE,4776533,Revenue,1248.00
Childrens Services,West Riverside S/Start,2010-08-11,TIME FOR YOU,4772876,Revenue,1562.50
Childrens Services,West Riverside S/Start,2010-08-03,WESTGATE HILL PRIMARY SCHOOL,4764773,Revenue,825.00
Childrens Services,West Riverside S/Start,2010-08-11,XEROX (UK) LTD,4764770,Revenue,1239.17
Childrens Services,Workforce Development,2010-08-22,EAGLES COMMUNITY FOUNDATION,4784221,Revenue,11250.00
Childrens Services,Workforce Development,2010-08-22,EAST END HEALTH,4784570,Revenue,49239.75
Childrens Services,Workforce Development,2010-08-15,NEWCASTLE CITY HEALTH NHS TRUST,4717362,Revenue,11625.00
Childrens Services,Workforce Development,2010-08-04,RIVERSIDE COMM. HEALTH PROJECT,4736847,Revenue,7968.50
Childrens Services,YISP,2010-08-10,BACK CARE SOLUTIONS LTD,4767217,Revenue,771.01
Childrens Services,YISP,2010-08-30,BASE THEATRE COMPANY,4745837,Revenue,1500.00
Childrens Services,YISP,2010-08-24,CONSETT YMCA,4787987,Revenue,600.00
Childrens Services,YISP,2010-08-05,LIGHTWATER VALLEY LTD,4749772,Revenue,609.45
Childrens Services,YISP,2010-08-23,RECYKE Y'BIKE,4786198,Revenue,960.00
Childrens Services,Youth Offending Team,2010-08-22,NORTH TYNESIDE PRIMARY CARE TRUST,4784572,Revenue,3171.70
Childrens Services,Youth Offending Team,2010-08-08,SUNDERLAND CITY COUNCIL,4768623,Revenue,2319.32
Childrens Services,Youth Service,2010-08-10,BARNARDOS TEENAGE PREG SUPPORT TEAM,4771318,Revenue,5312.50
Childrens Services,Youth Service,2010-08-10,BENWELL YOUNG PEOPLES DEV GROUP,4771317,Revenue,3000.00
Childrens Services,Youth Service,2010-08-10,CHILDREN-NORTH EAST,4771314,Revenue,3287.50
Childrens Services,Youth Service,2010-08-26,CHILDREN-NORTH EAST,4784530,Revenue,3287.50
Childrens Services,Youth Service,2010-08-10,DENTON YOUNG PEOPLES PROJECT,4771316,Revenue,3000.00
Childrens Services,Youth Service,2010-08-10,STREETWISE,4771315,Revenue,4740.00
Childrens Services,Youth Service,2010-08-01,THE AWARD SCHEME LTD,4734241,Revenue,2033.18
Childrens Services,Youth Service,2010-08-09,WEST END WOMENS & GIRLS CENTRE,4769929,Revenue,3000.00
Childrens Services,Youth Service,2010-08-10,YMCA NEWCASTLE,4771313,Revenue,3000.00
City Service,City Service Benefit Centre,2010-08-05,ACS LTD,4758733,Revenue,750.00
City Service,City Service Benefit Centre,2010-08-05,ACS LTD,4758734,Revenue,1050.00
City Service,City Service Benefit Centre,2010-08-26,DATATANK,4768674,Revenue,1500.00
City Service,City Service Benefit Centre,2010-08-18,ROYAL MAIL NORTH EAST,4762281,Revenue,550.00
City Service,City Service Cashiers,2010-08-18,CLAUDE SYSTEMS LTD,4770661,Revenue,1886.30
City Service,City Service Cust Serv Ctr,2010-08-19,DURHAM BUSINESSWEAR LTD,4783189,Revenue,1646.58
City Service,City Service Cust Serv Devt,2010-08-04,LAGAN TECHNOLOGIES LTD,4756587,Revenue,7245.29
City Service,City Service Cust Serv Devt,2010-08-08,NCC SERVICES LTD,4768443,Revenue,945.00
City Service,City Service Cust Serv Devt,2010-08-03,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,4764519,Revenue,30370.84
City Service,City Service Cust Serv Devt,2010-08-10,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,4771093,Revenue,13136.07
City Service,City Service Cust Serv Devt,2010-08-30,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,4792610,Revenue,26282.31
City Service,City Service Cust Serv Devt,2010-08-30,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,4792611,Revenue,11840.49
City Service,City Service Cust Serv Devt,2010-08-17,NEWCASTLE AND NORTH TYNESIDE LIFT T2,4753563,Revenue,17022.64
City Service,City Service Cust Serv Devt,2010-08-03,NEWCASTLE AND NORTH TYNESIDE LIFT T2,4764518,Revenue,35382.91
City Service,City Service Cust Serv Devt,2010-08-03,NEWCASTLE AND NORTH TYNESIDE LIFT T2,4764520,Revenue,29191.81
City Service,City Service Cust Serv Devt,2010-08-15,SUNDERLAND CITY COUNCIL,4756584,Revenue,19687.50
City Service,City Service Excq Payments,2010-08-05,CIVICA UK LTD,4762994,Revenue,1790.00
City Service,City Service Excq Payments,2010-08-26,LYRECO UK LTD,4769469,Revenue,547.95
City Service,City Service Excq Payroll Prep,2010-08-30,ACCENTURE,4792873,Revenue,4400.00
City Service,City Service Excq Payroll Prep,2010-08-30,ACCENTURE,4792895,Revenue,6170.16
City Service,City Service Excq Payroll Prep,2010-08-30,ACCENTURE,4792896,Revenue,3060.00
City Service,City Service Excq Payroll Prep,2010-08-26,CAPITA BUSINESS SERVICES LTD,4785867,Revenue,640.00
City Service,City Service ICT Svs (Sch),2010-08-02,ACEDA LTD,4749522,Revenue,5716.24
City Service,City Service ICT Svs (Sch),2010-08-02,ACEDA LTD,4753290,Capital,5481.83
City Service,City Service ICT Svs (Sch),2010-08-26,ANDERTON TIGER LLP,4790283,Capital,10995.00
City Service,City Service ICT Svs (Sch),2010-08-05,BATTERY.CO.UK,4737122,Revenue,654.90
City Service,City Service ICT Svs (Sch),2010-08-05,CAPITA CHILDRENS SERVICES,4732155,Revenue,10816.20
City Service,City Service ICT Svs (Sch),2010-08-12,CAPITA CHILDRENS SERVICES,4743942,Revenue,767.08
City Service,City Service ICT Svs (Sch),2010-08-17,CAPITA CHILDRENS SERVICES,4746161,Revenue,767.08
City Service,City Service ICT Svs (Sch),2010-08-17,CAPITA CHILDRENS SERVICES,4746162,Revenue,1012.50
City Service,City Service ICT Svs (Sch),2010-08-19,CHROMACOLOUR INTERNATIONAL,4756588,Capital,815.99
City Service,City Service ICT Svs (Sch),2010-08-17,COMPLETE SOURCE LTD,4762997,Capital,1330.00
City Service,City Service ICT Svs (Sch),2010-08-12,COMPLETE SOURCE LTD,4765768,Revenue,1330.00
City Service,City Service ICT Svs (Sch),2010-08-01,DELL COMPUTER CORPORATION LTD,4733902,Revenue,723.35
City Service,City Service ICT Svs (Sch),2010-08-05,DELL COMPUTER CORPORATION LTD,4745785,Revenue,1143.30
City Service,City Service ICT Svs (Sch),2010-08-05,DELL COMPUTER CORPORATION LTD,4745786,Revenue,571.65
City Service,City Service ICT Svs (Sch),2010-08-05,DELL COMPUTER CORPORATION LTD,4745787,Capital,9107.10
City Service,City Service ICT Svs (Sch),2010-08-05,DELL COMPUTER CORPORATION LTD,4745788,Capital,2265.84
City Service,City Service ICT Svs (Sch),2010-08-01,DELL COMPUTER CORPORATION LTD,4745789,Capital,7147.80
City Service,City Service ICT Svs (Sch),2010-08-05,DELL COMPUTER CORPORATION LTD,4748304,Revenue,2320.00
City Service,City Service ICT Svs (Sch),2010-08-04,DELL COMPUTER CORPORATION LTD,4749580,Capital,3050.05
City Service,City Service ICT Svs (Sch),2010-08-15,DELL COMPUTER CORPORATION LTD,4758367,Capital,15810.00
City Service,City Service ICT Svs (Sch),2010-08-17,DELL COMPUTER CORPORATION LTD,4758482,Revenue,2217.60
City Service,City Service ICT Svs (Sch),2010-08-19,DELL COMPUTER CORPORATION LTD,4766158,Revenue,4154.86
City Service,City Service ICT Svs (Sch),2010-08-19,DELL COMPUTER CORPORATION LTD,4766160,Revenue,1143.30
City Service,City Service ICT Svs (Sch),2010-08-19,DELL COMPUTER CORPORATION LTD,4766161,Capital,4154.66
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768717,Capital,580.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768718,Capital,9240.52
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768719,Capital,1710.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768720,Capital,761.12
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768721,Capital,25110.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768722,Capital,580.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4768723,Capital,7540.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769377,Capital,4360.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769378,Capital,5800.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769379,Capital,28528.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769381,Capital,1090.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769382,Capital,1212.72
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769546,Revenue,2900.00
City Service,City Service ICT Svs (Sch),2010-08-25,DELL COMPUTER CORPORATION LTD,4769547,Capital,1974.00
City Service,City Service ICT Svs (Sch),2010-08-25,DELL COMPUTER CORPORATION LTD,4769863,Capital,19740.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769864,Revenue,8175.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769865,Capital,2827.84
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769866,Capital,6276.16
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769867,Capital,3191.76
City Service,City Service ICT Svs (Sch),2010-08-25,DELL COMPUTER CORPORATION LTD,4769997,Capital,19740.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769998,Capital,596.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4769999,Capital,4401.00
City Service,City Service ICT Svs (Sch),2010-08-25,DELL COMPUTER CORPORATION LTD,4770159,Capital,19740.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4770199,Capital,19740.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4779745,Capital,910.10
City Service,City Service ICT Svs (Sch),2010-08-30,DELL COMPUTER CORPORATION LTD,4779747,Capital,984.00
City Service,City Service ICT Svs (Sch),2010-08-26,DELL COMPUTER CORPORATION LTD,4779947,Capital,1414.76
City Service,City Service ICT Svs (Sch),2010-08-25,DELL COMPUTER CORPORATION LTD,4783179,Capital,11244.20
City Service,City Service ICT Svs (Sch),2010-08-08,DIGITAL VILLAGE,4765764,Capital,2041.60
City Service,City Service ICT Svs (Sch),2010-08-12,DOUGAL & RAILTON LTD,4743940,Capital,6441.95
City Service,City Service ICT Svs (Sch),2010-08-15,IPNORTH LTD,4768467,Revenue,10145.00
City Service,City Service ICT Svs (Sch),2010-08-03,MISCO,4752071,Capital,1589.48
City Service,City Service ICT Svs (Sch),2010-08-18,MISCO,4755060,Capital,739.98
City Service,City Service ICT Svs (Sch),2010-08-12,NATIONAL COMPUTER RECYCLING LTD,4767022,Revenue,662.00
City Service,City Service ICT Svs (Sch),2010-08-12,NATIONAL COMPUTER RECYCLING LTD,4768498,Revenue,574.00
City Service,City Service ICT Svs (Sch),2010-08-12,NCC GROUP SECURE TEST LTD,4755017,Revenue,755.00
City Service,City Service ICT Svs (Sch),2010-08-19,PC WORLD BUSINESS DIRECT,4764135,Capital,849.59
City Service,City Service ICT Svs (Sch),2010-08-19,PHOENIX SOFTWARE LTD,4755039,Capital,2504.95
City Service,City Service ICT Svs (Sch),2010-08-19,PHOENIX SOFTWARE LTD,4755040,Capital,2639.67
City Service,City Service ICT Svs (Sch),2010-08-19,PHOENIX SOFTWARE LTD,4755041,Capital,1013.76
City Service,City Service ICT Svs (Sch),2010-08-19,PHOENIX SOFTWARE LTD,4758445,Capital,2218.05
City Service,City Service ICT Svs (Sch),2010-08-25,PHOENIX SOFTWARE LTD,4762984,Both,1393.48
City Service,City Service ICT Svs (Sch),2010-08-24,PHOENIX SOFTWARE LTD,4764132,Capital,718.90
City Service,City Service ICT Svs (Sch),2010-08-26,PHOENIX SOFTWARE LTD,4764793,Capital,2146.50
City Service,City Service ICT Svs (Sch),2010-08-10,S L DATA LTD,4768548,Revenue,695.00
City Service,City Service ICT Svs (Sch),2010-08-15,TAG LEARNING LIMITED,4758267,Capital,626.99
City Service,City Service ICT Svs (Sch),2010-08-16,THE JESSOP GROUP LTD,4754977,Capital,643.34
City Service,City Service ICT Svs (Sch),2010-08-24,THE JESSOP GROUP LTD,4787794,Capital,1041.47
City Service,City Service ICT Svs (Sch),2010-08-02,VIRGIN MEDIA,4728985,Capital,27188.50
City Service,City Service ICT Svs (Sch),2010-08-17,VIRGIN MEDIA,4776536,Revenue,10723.11
City Service,City Service ICT Svs (Sch),2010-08-24,VIRGIN MEDIA,4776537,Capital,514.64
City Service,City Service ICT Svs (Sch),2010-08-16,VIRGIN MEDIA,4776539,Revenue,2996.51
City Service,City Service ICT Svs (Sch),2010-08-30,VIRGIN MEDIA,4792803,Capital,2855.09
City Service,City Service ICT Svs (Sch),2010-08-30,VIRGIN MEDIA,4792804,Capital,632.80
City Service,City Service IT Mgmt & Networks,2010-08-01,ANTALIS LTD,4701940,Revenue,1274.40
City Service,City Service IT Mgmt & Networks,2010-08-05,ANTALIS LTD,4742835,Revenue,1908.00
City Service,City Service IT Mgmt & Networks,2010-08-03,ANTALIS LTD,4764763,Revenue,655.88
City Service,City Service IT Mgmt & Networks,2010-08-25,ANTALIS LTD,4789415,Revenue,3582.04
City Service,City Service IT Mgmt & Networks,2010-08-26,ANTALIS LTD,4790326,Revenue,1386.41
City Service,City Service IT Mgmt & Networks,2010-08-19,AVOCENT SOFTWARE LTD,4765650,Revenue,13682.50
City Service,City Service IT Mgmt & Networks,2010-08-26,AVOCENT SOFTWARE LTD,4784628,Revenue,13682.50
City Service,City Service IT Mgmt & Networks,2010-08-30,BT,4790476,Revenue,511.00
City Service,City Service IT Mgmt & Networks,2010-08-10,CISILION LTD,4738701,Revenue,3914.00
City Service,City Service IT Mgmt & Networks,2010-08-12,COMPLETE SOURCE LTD,4765767,Revenue,860.00
City Service,City Service IT Mgmt & Networks,2010-08-12,CONNECTION EXPRESS PARCELS LTD,4774066,Revenue,1080.00
City Service,City Service IT Mgmt & Networks,2010-08-24,FOX IT LTD,4788038,Revenue,1585.00
City Service,City Service IT Mgmt & Networks,2010-08-19,GATESHEAD MBC,4773990,Revenue,12000.00
City Service,City Service IT Mgmt & Networks,2010-08-24,GUIDANCE SOFTWARE INC,4767034,Revenue,5042.28
City Service,City Service IT Mgmt & Networks,2010-08-26,HEWLETT PACKARD LTD,4764121,Revenue,700.53
City Service,City Service IT Mgmt & Networks,2010-08-19,INFRAMON LTD,4755527,Revenue,7500.00
City Service,City Service IT Mgmt & Networks,2010-08-30,LYRECO UK LTD,4792862,Revenue,7312.05
City Service,City Service IT Mgmt & Networks,2010-08-19,MISCO,4755207,Revenue,1513.39
City Service,City Service IT Mgmt & Networks,2010-08-12,NEOPOST FINANCE LTD,4774043,Revenue,1083.02
City Service,City Service IT Mgmt & Networks,2010-08-22,NEOPOST FINANCE LTD,4781794,Revenue,2122.72
City Service,City Service IT Mgmt & Networks,2010-08-25,NORTHGATE INFORMATION SOLUTIONS UK LTD,4786089,Revenue,34000.00
City Service,City Service IT Mgmt & Networks,2010-08-15,OCE FINANCE,4775362,Revenue,534.22
City Service,City Service IT Mgmt & Networks,2010-08-19,ORACLE CORPORATION UK LTD,4762999,Revenue,1618.00
City Service,City Service IT Mgmt & Networks,2010-08-03,POTTS PRINTERS LTD,4764776,Revenue,575.00
City Service,City Service IT Mgmt & Networks,2010-08-04,QA LIMITED,4738081,Revenue,3690.00
City Service,City Service IT Mgmt & Networks,2010-08-17,QA LIMITED,4748090,Revenue,5000.00
City Service,City Service IT Mgmt & Networks,2010-08-23,ROC SYSTEMS CONSULTING LTD,4765799,Revenue,7695.00
City Service,City Service IT Mgmt & Networks,2010-08-11,ROYAL MAIL GROUP PLC,4749709,Revenue,3914.20
