Payment Date,Benificiary Name,Amount
2012-12-22,AGE UK NEWCASTLE,33204.08
2012-12-16,AKW MEDI-CARE LTD,426.68
2012-12-16,AKW MEDI-CARE LTD,523.90
2012-12-22,AKW MEDI-CARE LTD,280.91
2012-12-08,AKW MEDI-CARE LTD,438.27
2012-12-26,AKW MEDI-CARE LTD,348.71
2012-12-07,AKW MEDI-CARE LTD,468.58
2012-12-23,AKW MEDI-CARE LTD,325.81
2012-12-06,ALAN CARR DESIGN & PRINT,549.00
2012-12-09,ALAN HILLARY EVENTS LTD,3500.00
2012-12-06,ALAN HILLARY EVENTS LTD,4000.00
2012-12-03,ALBANY HOUSE  (WHITLEY BAY),6204.08
2012-12-03,ALBANY HOUSE  (WHITLEY BAY),6204.08
2012-12-13,ALBANY OFFICE FURNITURE SOLUTIONS,395.00
2013-01-02,ALBANY OFFICE FURNITURE SOLUTIONS,252.00
2012-12-21,ALBANY OFFICE FURNITURE SOLUTIONS,520.00
2012-12-13,ALBANY OFFICE FURNITURE SOLUTIONS,337.00
2012-12-31,ALD HAIRDRESSING TRAINING ACADEMY,3750.00
2012-12-31,ALD HAIRDRESSING TRAINING ACADEMY,5834.00
2012-12-03,ALEXANDRA PARK,13321.80
2012-12-03,ALEXANDRA PARK,8262.96
2012-12-03,ALEXANDRA PARK,13321.80
2012-12-03,ALEXANDRA PARK,8262.96
2012-12-03,ALKER & BALL SOLICITORS,13438.36
2012-12-14,ALL SAINTS PCC,325.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,-6222.16
2012-12-03,ALLAN COURT RESIDENTIAL HOME,-3643.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,-6082.16
2012-12-03,ALLAN COURT RESIDENTIAL HOME,-3643.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,27141.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,15060.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,434.80
2012-12-03,ALLAN COURT RESIDENTIAL HOME,5652.40
2012-12-03,ALLAN COURT RESIDENTIAL HOME,3244.76
2012-12-03,ALLAN COURT RESIDENTIAL HOME,26520.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,15060.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,434.80
2012-12-03,ALLAN COURT RESIDENTIAL HOME,5652.40
2012-12-03,ALLAN COURT RESIDENTIAL HOME,4601.60
2012-12-03,ALLAN COURT RESIDENTIAL HOME,869.60
2012-12-03,ALLAN COURT RESIDENTIAL HOME,869.60
2012-12-03,ALLAN COURT RESIDENTIAL HOME,2584.28
2012-12-03,ALLAN COURT RESIDENTIAL HOME,1392.13
2012-12-03,ALLAN COURT RESIDENTIAL HOME,280.00
2012-12-03,ALLAN COURT RESIDENTIAL HOME,160.00
2012-12-19,ALLIED HEALTHCARE GROUP,63692.24
2012-12-19,ALLIED HEALTHCARE GROUP,1579.55
