Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1954,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1969,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1982,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,92,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,95,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,105,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,111,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,507,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,509,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,553,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,557,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,562,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,568,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,609,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,730,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,889,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1136,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1790,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1839,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1840,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1844,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1848,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1861,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1883,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1906,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1927,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1936,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1946,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1956,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1963,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1997,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,2017,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Employees,Indirect Employee Expenses,43969489,0,201709,GOSS INTERACTIVE LIMITED,2783,2017-12-15,
Office of the Chief Executive,Employees,Indirect Employee Expenses,43973573,0,201709,GOSS INTERACTIVE LIMITED,1392,2017-12-15,
Office of the Chief Executive,Employees,Indirect Employee Expenses,43973597,0,201709,GOSS INTERACTIVE LIMITED,1391.5,2017-12-15,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000292,11,201709,CLICK TRAVEL LTD,143.02,2017-12-13,
Corporate Resources,Employees,Agency Staff,60091249,36,201709,DE POEL MANAGED SERVICES LIMITED,535.19,2017-12-12,
Corporate Resources,Employees,Agency Staff,60091250,55,201709,DE POEL MANAGED SERVICES LIMITED,533.03,2017-12-12,
Corporate Resources,Employees,Agency Staff,60091251,7,201709,DE POEL MANAGED SERVICES LIMITED,554.27,2017-12-22,
Corporate Resources,Employees,Agency Staff,60091251,43,201709,DE POEL MANAGED SERVICES LIMITED,535.19,2017-12-22,
Corporate Resources,Employees,Agency Staff,60091251,70,201709,DE POEL MANAGED SERVICES LIMITED,554.83,2017-12-22,
Corporate Resources,Employees,Indirect Employee Expenses,41213223,1,201709,CITY OF NEWCASTLE UPON TYNE,6266,2017-12-05,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,10,201709,CLICK TRAVEL LTD,7.07,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,13,201709,CLICK TRAVEL LTD,7.57,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,15,201709,CLICK TRAVEL LTD,20.5,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,16,201709,CLICK TRAVEL LTD,78.98,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,17,201709,CLICK TRAVEL LTD,25.25,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,19,201709,CLICK TRAVEL LTD,58.98,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,22,201709,CLICK TRAVEL LTD,58.98,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000292,1,201709,CLICK TRAVEL LTD,29.29,2017-12-13,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000292,16,201709,CLICK TRAVEL LTD,150.49,2017-12-13,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000292,17,201709,CLICK TRAVEL LTD,29.29,2017-12-13,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000307,3,201709,CLICK TRAVEL LTD,24.24,2017-12-20,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000307,6,201709,CLICK TRAVEL LTD,67.77,2017-12-20,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000307,10,201709,CLICK TRAVEL LTD,79.28,2017-12-20,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000307,12,201709,CLICK TRAVEL LTD,24.24,2017-12-20,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000307,14,201709,CLICK TRAVEL LTD,67.77,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,43976888,0,201709,INSIGHT DIRECT UK LTD,540,2017-12-04,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,371,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,373,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,374,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,375,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,394,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,425,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1062,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1268,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1427,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1628,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1640,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1749,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,326,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,416,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,418,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,421,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,422,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,428,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1034,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1646,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1675,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1834,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1900,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1961,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148026332,2,201709,MARSH LTD,8322.1,2017-12-14,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,36,201709,CLICK TRAVEL LTD,300.98,2017-12-07,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,86,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,414,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,416,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,418,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,419,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,421,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,424,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1472,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,118,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,316,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,319,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,320,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,322,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,323,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,368,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1498,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,134,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1721,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1824,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1831,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,85,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1712,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1912,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1913,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1160,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1163,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1209,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1235,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1237,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1239,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1244,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1191,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1195,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1200,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1233,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1266,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1271,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1276,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,41214313,1,201709,QUICKTHINK CLOUD LIMITED,1294.85,2017-12-19,
Corporate Resources,Supplies and Services,Comms & Computing,41214314,1,201709,QUICKTHINK CLOUD LIMITED,1302.28,2017-12-19,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1703,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1778,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,2,201709,CLICK TRAVEL LTD,36.02,2017-12-07,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000279,9,201709,CLICK TRAVEL LTD,29.22,2017-12-07,
Corporate Resources,Supplies and Services,Comms & Computing,43979468,0,201709,LLOYDS-IP,192.45,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,43979468,1,201709,LLOYDS-IP,266.6,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,148026282,7,201709,ROYAL MAIL,1004.35,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026283,7,201709,ROYAL MAIL,1326.71,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026295,7,201709,ROYAL MAIL,784.85,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026374,7,201709,ROYAL MAIL,1304.82,2017-12-19,
Corporate Resources,Supplies and Services,Comms & Computing,41213827,1,201709,VIRGIN MEDIA PAYMENTS LTD,758.1,2017-12-13,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,682,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,683,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,696,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,699,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,712,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,610,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,612,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,614,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,615,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,660,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",147038924,1,201709,DURHAM HOUSE CLEARANCE,500,2017-12-12,
Corporate Resources,Supplies and Services,Other Running Costs,148026199,1,201709,ROSSENDALES COLLECT LTD,115.5,2017-12-01,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,196,201709,O2 (UK) LTD,4.79,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,967,201709,O2 (UK) LTD,4.5,2017-12-20,
Corporate Resources,Employees,Indirect Employee Expenses,148026426,1,201709,TYNE & WEAR PENSION FUND,63547,2017-12-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000315,21,201709,CLICK TRAVEL LTD,32.32,2017-12-22,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000315,22,201709,CLICK TRAVEL LTD,32.32,2017-12-22,
Corporate Resources,Transport,Public Transport and Taxi Fares,300000315,28,201709,CLICK TRAVEL LTD,5.15,2017-12-22,
Corporate Resources,Supplies and Services,Comms & Computing,43979464,0,201709,LLOYDS-IP,581.03,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,148026282,1,201709,ROYAL MAIL,77.28,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026282,2,201709,ROYAL MAIL,920.22,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026283,1,201709,ROYAL MAIL,441.74,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026283,2,201709,ROYAL MAIL,954.94,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026295,1,201709,ROYAL MAIL,108.8,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026295,2,201709,ROYAL MAIL,644.26,2017-12-11,
Corporate Resources,Supplies and Services,Comms & Computing,148026374,1,201709,ROYAL MAIL,122.15,2017-12-19,
Corporate Resources,Supplies and Services,Comms & Computing,148026374,2,201709,ROYAL MAIL,768.04,2017-12-19,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,701,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,702,201709,O2 (UK) LTD,0.06,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,703,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,704,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,705,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,707,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,709,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,710,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,716,201709,O2 (UK) LTD,0.31,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,741,201709,O2 (UK) LTD,0.05,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,846,201709,O2 (UK) LTD,1.31,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1441,201709,O2 (UK) LTD,1.02,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1634,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1642,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1646,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600010,1648,201709,O2 (UK) LTD,10,2017-12-05,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,625,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,663,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,694,201709,O2 (UK) LTD,0.07,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,707,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,709,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,710,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,711,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,713,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,823,201709,O2 (UK) LTD,0.02,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,836,201709,O2 (UK) LTD,0.28,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,874,201709,O2 (UK) LTD,0.24,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1519,201709,O2 (UK) LTD,3.88,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1903,201709,O2 (UK) LTD,10,2017-12-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600011,1911,201709,O2 (UK) LTD,10,2017-12-20,
