Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,303,201902,O2 (UK) LTD,0.57,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1838,201902,O2 (UK) LTD,0.34,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1996,201902,O2 (UK) LTD,0.33,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2041,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2047,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2048,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2050,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2105,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2109,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2111,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2120,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2121,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2128,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",44037227,0,201902,CAPITA BUSINESS SERVICES LTD,5893.37,2019-05-20,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1839,201902,O2 (UK) LTD,0.13,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1623,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,0,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,3,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,7,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,9,201902,CLICK TRAVEL LTD,12.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,16,201902,CLICK TRAVEL LTD,12.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,19,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,22,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,30,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,1,201902,CLICK TRAVEL LTD,18.4,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,8,201902,CLICK TRAVEL LTD,20.1,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,12,201902,CLICK TRAVEL LTD,18.4,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,45,201902,CLICK TRAVEL LTD,20.1,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,148031543,1,201902,MHR INTERNATIONAL UK LTD,19276.39,2019-05-30,
Corporate Resources,Supplies and Services,Comms & Computing,148031544,1,201902,MHR INTERNATIONAL UK LTD,12125.62,2019-05-30,
Corporate Resources,Supplies and Services,Comms & Computing,148031311,1,201902,MHR INTERNATIONAL UK LTD,22491,2019-05-09,
Corporate Resources,Supplies and Services,Comms & Computing,148031472,1,201902,MHR INTERNATIONAL UK LTD,509.5,2019-05-23,
Corporate Resources,Supplies and Services,Comms & Computing,148031541,1,201902,MHR INTERNATIONAL UK LTD,2262.33,2019-05-30,
Corporate Resources,Supplies and Services,Comms & Computing,148031542,1,201902,MHR INTERNATIONAL UK LTD,1607.46,2019-05-30,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,6,201902,ROYAL MAIL,1690.96,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,6,201902,ROYAL MAIL,449.11,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,6,201902,ROYAL MAIL,154.92,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,3,201902,ROYAL MAIL,197.04,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,4,201902,ROYAL MAIL,108.51,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,3,201902,ROYAL MAIL,168.72,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,4,201902,ROYAL MAIL,290.29,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,3,201902,ROYAL MAIL,290.79,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,4,201902,ROYAL MAIL,550.85,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,232,201902,O2 (UK) LTD,8.4,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,633,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1763,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,5,201902,ROYAL MAIL,19.23,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,5,201902,ROYAL MAIL,36.01,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,5,201902,ROYAL MAIL,245.53,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,243,201902,O2 (UK) LTD,0.03,2019-05-21,
Corporate Resources,Employees,Indirect Employee Expenses,44038801,0,201902,ASSOCIATION OF EDUCATIONAL PSYCHOLOGISTS,700,2019-05-29,
Corporate Resources,Employees,Indirect Employee Expenses,44038802,0,201902,TES GLOBAL LIMITED,999,2019-05-29,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,13,201902,CLICK TRAVEL LTD,38.6,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,32,201902,CLICK TRAVEL LTD,38.6,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,14,201902,CLICK TRAVEL LTD,27.3,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,36,201902,CLICK TRAVEL LTD,25.2,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,8,201902,ROYAL MAIL,9.17,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,8,201902,ROYAL MAIL,10.68,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,8,201902,ROYAL MAIL,47.59,2019-05-28,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41250432,1,201902,DISCLOSURE & BARRING SERVICE,4900,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1914,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,4,201902,CLICK TRAVEL LTD,86,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,6,201902,CLICK TRAVEL LTD,123,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,8,201902,CLICK TRAVEL LTD,11.2,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,15,201902,CLICK TRAVEL LTD,10.9,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,17,201902,CLICK TRAVEL LTD,123,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,21,201902,CLICK TRAVEL LTD,86,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,23,201902,CLICK TRAVEL LTD,11.2,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,32,201902,CLICK TRAVEL LTD,10.9,2019-05-01,
Corporate Resources,Supplies and Services,Comms & Computing,41250410,0,201902,FRONTLINE DATA,13995,2019-05-09,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,5,201902,CLICK TRAVEL LTD,9.95,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,36,201902,CLICK TRAVEL LTD,9.95,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,9,201902,CLICK TRAVEL LTD,86,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,24,201902,CLICK TRAVEL LTD,86,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,32,201902,CLICK TRAVEL LTD,48.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,44036112,0,201902,VIRGIN MEDIA PAYMENTS LTD,99155.81,2019-05-07,
Corporate Resources,Supplies and Services,Comms & Computing,44036013,0,201902,CIVICA LTD,66625,2019-05-03,
Corporate Resources,Supplies and Services,Comms & Computing,41251916,1,201902,DURHAM COUNTY COUNCIL,15000,2019-05-30,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,67,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,94,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,214,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,506,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,508,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,511,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,785,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,847,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,956,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,958,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,962,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1068,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1191,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1318,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1407,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1410,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1412,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1518,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1533,201902,O2 (UK) LTD,1.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1601,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1678,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1822,201902,O2 (UK) LTD,0.31,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1854,201902,O2 (UK) LTD,1.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1865,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1918,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1922,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1923,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1924,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1927,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1928,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1930,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1960,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1964,201902,O2 (UK) LTD,1.71,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1971,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2151,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2180,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2203,201902,O2 (UK) LTD,1.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2271,201902,O2 (UK) LTD,1.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2350,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2364,201902,O2 (UK) LTD,10,2019-05-21,
