Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2017-09-06,15.40,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-09-06,2.89,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-09-27,5.88,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-09-08,3.07,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-15,2.56,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-15,55.17,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-16,69.90,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-16,3.21,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-18,8.29,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-18,17.95,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-09-19,2.04,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-10-10,9.98,Economy and Environment-Environmental Services,Amazon UK Marketplace,,
2017-10-10,1.87,Economy and Environment-Environmental Services,Amazon UK Marketplace,,
2017-10-17,7.45,Economy and Environment-Environmental Services,Amazon UK Marketplace,,
2017-10-17,5.91,Economy and Environment-Environmental Services,Amazon UK Marketplace,,
2017-10-18,497.47,Economy and Environment-Environmental Services,Amazon UK Marketplace,,
2017-08-03,2.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-03,29.73,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-04,3.10,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-08,9.30,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-09,29.97,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-09,12.35,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-09,14.19,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-10,6.13,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-10,58.77,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-10,7.18,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-10,56.16,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-10,5.52,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-13,18.72,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-13,29.50,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-16,2.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-16,7.60,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-17,23.89,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-18,27.36,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-19,56.77,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-22,22.70,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-22,24.79,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-23,15.65,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-25,16.58,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-21,4.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-28,4.93,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-10-17,58.06,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-10-19,11.04,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-10-18,2.94,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-10-19,10.80,Economy and Environment-Highways and Engineering Services,Amazon UK Marketplace,,
2017-10-09,15.30,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Marketplace,,
2017-08-31,30.79,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-08-31,28.32,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-04,31.97,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-04,15.00,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-04,138.98,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-05,37.37,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-06,100.30,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-08,33.90,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-20,21.33,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-20,6.32,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-09-21,64.75,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
2017-10-13,66.62,Communities & Service Support-Customer Services and Communications,Amazon UK Marketplace,,
2017-10-05,14.22,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-10-04,62.41,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Marketplace,,
2017-08-31,2.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-31,13.00,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-31,3.29,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-31,6.68,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-31,3.30,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-01,10.57,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-01,39.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-01,68.88,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-03,124.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-04,200.52,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-04,14.67,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-04,8.00,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-04,239.40,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-06,22.80,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-06,12.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-06,9.69,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-06,30.58,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-07,30.15,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-08,24.73,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-13,10.52,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-14,25.11,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-14,6.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-21,21.56,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-22,3.29,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-25,40.93,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-09-25,12.41,Communities & Service Support-Libraries Info & Tourism,Amazon UK Marketplace,,
2017-08-04,2.64,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Marketplace,,
2017-08-04,17.45,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Marketplace,,
2017-08-14,4.79,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Marketplace,,
2017-09-19,214.16,Children and Young People-Childrens Care Services,Amazon UK Retail,,
2017-08-30,16.99,Children and Young People-Children and Young People's Serv - Central Depts.,Amazon UK Retail,,
2017-10-26,24.58,Deputy Chief Executive-ICT Services,Amazon UK Retail,,
2017-10-01,11.98,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-10-08,11.40,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-28,12.93,Economy and Environment-Environmental Services,Amazon UK Retail,,
2017-10-03,6.34,Economy and Environment-Environmental Services,Amazon UK Retail,,
2017-08-03,40.95,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-03,13.79,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-03,39.96,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-04,95.15,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-09,15.95,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-09,218.70,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-11,11.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-16,11.93,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-19,20.91,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-19,53.94,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-20,89.51,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-20,1.00,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-20,1.00,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-22,108.93,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-22,7.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-08-23,95.10,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-10-06,64.30,Children and Young People-Childrens Care Services,Amazon UK Retail,,
2017-10-19,24.71,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-10-11,14.52,Deputy Chief Executive-ICT Services,Amazon UK Retail,,
2017-09-28,4.16,Children and Young People-Childrens Care Services,Amazon UK Retail,,
2017-10-19,24.73,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Retail,,
2017-10-19,37.10,Communities & Service Support-Sport & Leisure Management DSO,Amazon UK Retail,,
2017-08-31,26.41,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-09-05,180.89,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-09-06,25.26,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-09-10,17.53,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-09-15,17.53,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Retail,,
2017-09-01,47.44,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-01,21.19,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-05,28.60,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-06,17.46,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-09,6.05,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-13,24.95,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-14,37.96,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-21,41.65,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-22,10.99,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-23,9.95,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
2017-09-23,105.39,Communities & Service Support-Libraries Info & Tourism,Amazon UK Retail,,
