Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-15,202281,BUCHER MUNICIPAL LTD,3649066,237.74,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,202281,BUCHER MUNICIPAL LTD,3649244,464.91,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-01,201012,CROSSROADS TRUCK & BUS,3649633,938.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,201056,DENNIS EAGLE LTD,3650044,426.94,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-29,201056,DENNIS EAGLE LTD,3650059,787.53,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-01,201056,DENNIS EAGLE LTD,3649569,13786.73,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-15,227388,DIGRAPH TRANSPORT SERVICES LTD,3649871,780.00,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-08,227388,DIGRAPH TRANSPORT SERVICES LTD,3648422,1560.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,452,Tyres/Tubes,2022-06-01,226519,DIRECT TYRE MANAGEMENT LTD,3649694,5599.71,
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-01,200832,EVANS HALSHAW DAF LEEDS,3648341,251.42,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,201441,FG ADAMSON & SON,3647334,338.86,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-29,201441,FG ADAMSON & SON,3649685,352.33,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,221344,FORD MOTOR COMPANY LTD,3648941,231.20,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,221344,FORD MOTOR COMPANY LTD,3648942,667.31,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-15,221344,FORD MOTOR COMPANY LTD,3648959,774.71,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-06,223096,FUCHS LUBRICANTS (UK) PLC,3649689,778.58,Claro Road
