Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2015-04-22,ICCM PAYMENTS,4627036,375.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2015-04-22,ICCM PAYMENTS,4626895,595.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2015-04-22,ICCM PAYMENTS,4626895,502.00,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2015-04-22,ICCM PAYMENTS,4626895,502.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Subscriptions,2015-04-29,ICCM PAYMENTS,4628370,445.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2015-04-01,ODLINGS LTD,4625657,180.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2015-04-01,ODLINGS LTD,4625657,65.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2015-04-01,ODLINGS LTD,4625657,138.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,2015-04-29,PMC HIRE & SALES CENTRE,4628322,150.00,Various
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,2015-04-29,PMC HIRE & SALES CENTRE,4628322,20.00,Various
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,2015-04-29,PMC HIRE & SALES CENTRE,4628317,300.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,2015-04-01,REDACTED - PERSONAL DATA,4627233,299.45,REDACTED -PERSONAL DATA
Harrogate Borough Council,Premises,C,Community,Bereavement Services,Payments to Ext Contractors,2015-04-29,STREETMASTER (SOUTH WALES) LTD,4628445,783.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2015-04-01,TUDOR ENVIRONMENTAL,4625570,596.37,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2015-04-29,WETHERBY SKIP HIRE SERVICES,4628252,172.71,various
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2015-04-29,WETHERBY SKIP HIRE SERVICES,4628252,172.71,various
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2015-04-22,PROFESSIONAL PAPER SUPPLIES LTD,4626871,385.65,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2015-04-08,PROFESSIONAL PAPER SUPPLIES LTD,4625777,1864.05,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Equipment,2015-04-08,TRAVIS PERKINS,4626757,186.00,ACCR1415  IHMT
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,56.13,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,56.13,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-27,ALLSTAR BUSINESS SOLUTIONS LTD,4627613,59.17,ACCR1415 FUELCARDS
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-27,ALLSTAR BUSINESS SOLUTIONS LTD,4627613,54.93,ACCR1415 FUELCARDS
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-27,ALLSTAR BUSINESS SOLUTIONS LTD,4627613,59.17,ACCR1415 FUELCARDS
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2015-04-27,ALLSTAR BUSINESS SOLUTIONS LTD,4627613,54.93,ACCR1415 FUELCARDS
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-04-20,BEMROSE BOOTH PARAGON LTD,4628203,474.00,CREDIT RE INV 386404
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-04-20,BEMROSE BOOTH PARAGON LTD,4628200,495.00,TICKETS
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627136,82.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627136,176.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627124,256.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627124,98.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627124,108.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627124,144.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,COLTON SIGNS,4627102,870.00,
Harrogate Borough Council,Employees,R,Community,Car Parking,Qualification Training,2015-04-27,CRAVEN COLLEGE,4628714,390.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2015-04-15,DESIGNA UK LTD,4626650,279.35,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2015-04-15,DESIGNA UK LTD,4626650,279.35,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2015-04-08,KELTIC LTD,4626876,485.45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2015-04-08,KELTIC LTD,4626876,8.95,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2015-04-08,METRIC GROUP LTD,4625726,380.60,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2015-04-15,NIDDERDALE AGRICULTURAL SOCIETY,4626906,625.00,ACCR1516 Lease of Land for Car Park Bewerley Park AprSept 201 5
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-04-29,NORTHGATE VEHICLE HIRE LTD,4628395,279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-04-29,NORTHGATE VEHICLE HIRE LTD,4628395,279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-04-29,NORTHGATE VEHICLE HIRE LTD,4628397,279.40,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-04-29,NORTHGATE VEHICLE HIRE LTD,4628397,279.40,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2015-04-29,PATROL,4628449,3152.50,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2015-04-22,SAS LINING SERVICES LTD,4626870,797.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Water & Sewerage,2015-04-27,YORKSHIRE WATER PLC,4628688,376.34,York Place Car  and  Coach Park
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,951.06,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,462.60,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,456.14,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,303.12,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,308.40,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,454.92,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,223.62,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,895.70,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,162.04,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,24.70,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,8.06,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,231.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,33.48,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,73.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,11.73,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,72.40,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,68.30,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,14.27,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,687.44,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,223.62,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,447.24,CA00935232
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-04-29,ATS EUROMASTER LTD,4628990,87.17,CA00935232
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-04-15,BARRY CARTER MOTOR PRODUCTS LTD,4627883,523.25,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-29,BENFIELD FORD,4629263,325.03,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,2015-04-27,BERENDSEN UK LTD,4628666,432.64,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-08,CHATFIELDS OF LEEDS,4625808,276.88,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,CROSSROADS TRUCK & BUS,4625584,659.12,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-29,DENNIS EAGLE LTD,4629010,208.98,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,DENNIS EAGLE LTD,4625033,139.06,MONTHLY ORDER
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,DENNIS EAGLE LTD,4625033,84.31,MONTHLY ORDER
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,DENNIS EAGLE LTD,4626882,230.51,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-08,DENNIS EAGLE LTD,4626116,235.47,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,DENNIS EAGLE LTD,4627890,260.45,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,DENNIS EAGLE LTD,4625594,266.25,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,DENNIS EAGLE LTD,4626880,313.90,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,DENNIS EAGLE LTD,4626118,399.76,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,DENNIS EAGLE LTD,4626117,420.66,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,DENNIS EAGLE LTD,4627137,505.95,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,DENNIS EAGLE LTD,4627138,513.51,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-04-01,FUCHS LUBRICANTS (UK) PLC,4626957,491.00,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-22,HALL FUELS,4627072,464.96,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-29,HALL FUELS,4628051,471.67,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-15,HALL FUELS,4626971,474.70,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-01,HALL FUELS,4625679,484.30,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-08,HALL FUELS,4626213,484.60,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-15,HALL FUELS,4626969,8811.20,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-08,HALL FUELS,4626892,8938.08,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-29,HALL FUELS,4628049,9254.96,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,MEND A HOSE HYDRAULICS LTD,4626875,223.75,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-08,MEND A HOSE HYDRAULICS LTD,4625721,464.74,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,91.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627786,30.00,June HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,91.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,113.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,91.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,18.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,113.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-04-13,NORTH YORKSHIRE COMMERCIALS LTD,4627788,30.00,May HGV MOT Test Fees
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,NORTHERN COMMERCIALS (MIRFIELD) LTD,4628394,259.47,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-22,NORTHERN COMMERCIALS (MIRFIELD) LTD,4626938,860.20,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-04-01,S & W SERVICES (YORKSHIRE) LTD,4626295,35.60,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,S & W SERVICES (YORKSHIRE) LTD,4626862,258.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,S & W SERVICES (YORKSHIRE) LTD,4626288,289.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-29,S & W SERVICES (YORKSHIRE) LTD,4628108,289.00,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-29,S & W SERVICES (YORKSHIRE) LTD,4628102,249.85,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-22,S & W SERVICES (YORKSHIRE) LTD,4627204,323.70,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-29,S & W SERVICES (YORKSHIRE) LTD,4628104,684.60,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-01,S & W SERVICES (YORKSHIRE) LTD,4626295,834.50,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,SPALDINGS (UK) LTD,4626382,8.23,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-01,SPALDINGS (UK) LTD,4626382,228.75,Claro
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-04-01,SPALDINGS (UK) LTD,4626382,65.91,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-08,TERBERG MATEC UK,4625742,252.46,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-13,THE AUTOGLAZIERS,4627737,265.00,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,TRUST FIRST PARTS,4627956,351.71,Claro
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-04-15,TRUST FIRST PARTS,4627954,952.50,Claro
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,2015-04-08,AST CONNECTIONS LTD,4627429,607.66,accr1415
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,2015-04-08,AST CONNECTIONS LTD,4627426,731.84,accr1415
Harrogate Borough Council,Employees,R,Community,Civil Contingencies,Non Qualification Training,2015-04-08,SERCO LTD,4626391,835.00,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Subsistence,2015-04-22,REDFERN TRAVEL LTD,4627563,112.43,REDACTED -PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Community Safety,Security Systems-Inst & Maint,2015-04-29,BRITISH TELECOMMUNICATIONS PLC,4628741,12258.86,CCTV 5326
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-13,EFFECTIVE SECURITY SERVICES LTD,4627131,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-27,EFFECTIVE SECURITY SERVICES LTD,4628438,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-27,FAIRFAX COMMUNITY CENTRE MANAGEMENT COMMITTEE,4628721,924.00,Fairfax DropIn Zone Project Grant Qtr 4 201415
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Subscriptions,2015-04-01,NATIONAL COMMUNITY SAFETY,4625472,285.00,ACCR1516
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-15,SAFE AND SOUND DERBY LTD,4626393,850.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-22,SOLON SECURITY LTD,4626920,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-22,SOLON SECURITY LTD,4626920,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-22,SOLON SECURITY LTD,4626920,1000.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-20,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,270.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-20,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,18.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-04-20,SYCAL UMBRELLAS PRINT & PROMOTIONS LTD,4628481,10.50,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Equipment,2015-04-15,CAMPBELL ASSOCIATES LTD,4626502,7910.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Consultants Fees,2015-04-29,HOLMES ENVIRONMENTAL HEALTH LTD,4628460,1100.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2015-04-22,NORTHUMBRIAN WATER LIMITED (NWL),4628158,1730.17,
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Qualification Training,2015-04-15,RICARDO-AEA LIMITED,4626866,1650.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-22,ACORN LIGHTING SERVICES,4627984,229.81,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-22,ACORN LIGHTING SERVICES,4627983,263.98,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-01,ACORN LIGHTING SERVICES,4626435,1782.44,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,2015-04-15,BOB COWELL,4626459,573.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,2015-04-22,BOB COWELL,4626842,1050.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-08,NORTHERN POWERGRID (NORTHEAST) LTD,4626671,436.25,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-15,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,371.02,various
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-15,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,1484.08,various
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2015-04-15,NORTHERN POWERGRID (YORKSHIRE) PLC,4626889,742.04,various
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,14.03,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,14.03,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,14.04,Mar Fuel
