Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-06,EDEN FARM LTD,4655110,673.49,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-06,EDEN FARM LTD,4654647,760.7,
Harrogate Borough Council,Premises,R,Community,Business Development,Bldg Mgmt Recharged Works,2016-07-25,HACS CIVIL ENGINEERING LLP,4657306,5007.00,Pannal Ash Junior FC
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-07-06,KILLGERM CHEMICALS LTD,4654739,271.9,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-06,P P SNACK FOODS LTD,4655016,223.28,VALLEY GDN GAMES
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2016-07-06,UK CONTAINER MAINTENANCE LTD,4654769,2280.00,
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-07-13,WETHERBY SKIP HIRE SERVICES,4655209,262.5,various
Harrogate Borough Council,Premises,R,Community,Business Development,Refuse Collection/Removal,2016-07-13,WETHERBY SKIP HIRE SERVICES,4655209,262.5,various
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,58.33,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,51.36,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,58.33,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,51.36,May Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,51.42,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,47.69,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,47.69,June Fuel
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2016-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,51.42,June Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-13,BEMROSE BOOTH PARAGON LTD,4655057,2223.00,credit trans 4655051
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-13,BEMROSE BOOTH PARAGON LTD,4655200,1185.60,credit trans 4654696
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-20,BEMROSE BOOTH PARAGON LTD,4655975,566.4,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-20,BEMROSE BOOTH PARAGON LTD,4655975,22.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-20,BEMROSE BOOTH PARAGON LTD,4655975,566.4,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-20,BEMROSE BOOTH PARAGON LTD,4655975,22.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-13,BEMROSE BOOTH PARAGON LTD,4654696,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-13,BEMROSE BOOTH PARAGON LTD,4654696,1185.60,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2016-07-13,BEMROSE BOOTH PARAGON LTD,4655051,2268.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2016-07-13,DESIGNA UK LTD,4654907,209,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,2016-07-06,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,210,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,2016-07-06,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,15,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,2016-07-06,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS,4654844,270,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2016-07-13,KELTIC LTD,4655793,365.65,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2016-07-06,KELTIC LTD,4655628,372.25,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2016-07-04,NIDDERDALE FLOORING LTD,4656291,3211.79,RETURNED BACS
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2016-07-13,NORTHGATE VEHICLE HIRE LTD,4656953,287.8,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2016-07-27,NORTHGATE VEHICLE HIRE LTD,4656977,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2016-07-27,NORTHGATE VEHICLE HIRE LTD,4656977,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2016-07-04,NORTHGATE VEHICLE HIRE LTD,4655800,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2016-07-04,NORTHGATE VEHICLE HIRE LTD,4655800,19,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2016-07-20,PARKEON LTD,4656257,686,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2016-07-13,WHARFEDALE FINANCE CO.,4656354,850,Car Park Station Road Pannal
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,210.86,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,203.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,233.52,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,203.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,620.01,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,60.11,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,114.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,77.49,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,232.55,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,1019.40,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,406.53,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,491.69,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,391.6,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,424.59,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,391.24,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,148.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,406.6,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,146.16,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,269.65,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,203.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,107.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,430.42,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,480.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,87.62,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,475.23,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,586.86,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,32.3,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,154.98,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,239.56,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,7.15,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,35.04,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,66.33,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,68.02,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,930.01,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,28.15,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2016-07-27,ATS EUROMASTER LTD,4656738,189.65,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2016-07-27,AUTOKONTROL LTD,4656468,390,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2016-07-20,BARRY CARTER MOTOR PRODUCTS LTD,4656452,302.44,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,2016-07-20,BERENDSEN UK LTD,4656849,540.64,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,CHATFIELDS OF LEEDS,4655709,295,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,CROSSROADS TRUCK & BUS,4655742,597.24,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,DENNIS EAGLE LTD,4657124,219,CREDIT INVOICE 282182
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,DENNIS EAGLE LTD,4657297,219,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,DENNIS EAGLE LTD,4654763,233.06,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,DENNIS EAGLE LTD,4655654,266.4,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,DENNIS EAGLE LTD,4655298,269.14,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-11,DENNIS EAGLE LTD,4655299,323.04,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,DENNIS EAGLE LTD,4655985,343.5,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,DENNIS EAGLE LTD,4654903,695.19,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-27,DENNIS EAGLE LTD,4656606,7699.04,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Carriage/Delivery,2016-07-06,EURO MUNICIPAL LTD,4654631,50,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,EURO MUNICIPAL LTD,4654631,250,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,EURO MUNICIPAL LTD,4655673,1000.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,GIBSONS GARDEN MACHINERY LTD,4655633,20.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,GIBSONS GARDEN MACHINERY LTD,4655633,36.35,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,GIBSONS GARDEN MACHINERY LTD,4655633,289.53,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,GIBSONS GARDEN MACHINERY LTD,4655633,92.85,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,GIBSONS GARDEN MACHINERY LTD,4654968,200.97,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,GIBSONS GARDEN MACHINERY LTD,4654968,4.2,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,GIBSONS GARDEN MACHINERY LTD,4654968,8.4,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,GIBSONS GARDEN MACHINERY LTD,4654968,493.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,GIBSONS GARDEN MACHINERY LTD,4654968,81.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,MIKE WILSON MOTORS,4654683,1512.34,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,MITCHELL DIESEL LTD,4655565,650.71,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,PROBRUSH,4656171,178.47,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,PROBRUSH,4655154,375,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,PROBRUSH,4655154,375,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,PROBRUSH,4655154,375,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-27,RIX PETROLEUM (HULL) LIMITED,4656429,9643.03,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-20,RIX PETROLEUM (HULL) LIMITED,4655762,9661.30,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-13,RIX PETROLEUM (HULL) LIMITED,4655650,9721.80,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-06,RIX PETROLEUM (HULL) LIMITED,4655021,10554.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,S & W SERVICES (YORKSHIRE) LTD,4656877,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-27,S & W SERVICES (YORKSHIRE) LTD,4656880,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-27,S & W SERVICES (YORKSHIRE) LTD,4656984,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-27,S & W SERVICES (YORKSHIRE) LTD,4656985,245,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,S & W SERVICES (YORKSHIRE) LTD,4655516,259,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,S & W SERVICES (YORKSHIRE) LTD,4655947,259,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-06,S & W SERVICES (YORKSHIRE) LTD,4655035,270.5,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-13,S & W SERVICES (YORKSHIRE) LTD,4655513,398,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-27,S & W SERVICES (YORKSHIRE) LTD,4656876,237,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-20,S & W SERVICES (YORKSHIRE) LTD,4656881,294,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-13,S & W SERVICES (YORKSHIRE) LTD,4655515,316,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-13,S & W SERVICES (YORKSHIRE) LTD,4655512,382.4,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2016-07-06,S & W SERVICES (YORKSHIRE) LTD,4655946,650,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-18,STONEACRE YORK,4657368,403.13,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2016-07-20,TERBERG MATEC UK,4655782,229.36,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,2016-07-04,APPLIED SATELLITE TECHNOLOGY SYSTEMS LTD,4656130,2014.98,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,2016-07-11,JAMES FLETCHER MARQUEES,4656364,577,GREAT YORKSHIRE SHOW
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2016-07-27,BAYDALE CONTROL SYSTEMS LTD,4657337,2365.00,Monthly CCTV Upgrade Maintenance for the period of July 16
Harrogate Borough Council,Premises,R,Community,Community Safety,Fire & Secuirty (01/04/16) - prev was Security Systems-Inst & Maint,2016-07-25,BRITISH TELECOMMUNICATIONS PLC,4657523,17100.46,CCTV 5326
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Other Supplies & Services,2016-07-18,DISCLOSURE AND BARRING SERVICE,4657113,5,JUNE CHECKS
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-07-06,EFFECTIVE SECURITY SERVICES LTD,4655806,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-07-06,EFFECTIVE SECURITY SERVICES LTD,4656453,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-07-13,EFFECTIVE SECURITY SERVICES LTD,4656979,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-07-25,EFFECTIVE SECURITY SERVICES LTD,4657486,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2016-07-27,EFFECTIVE SECURITY SERVICES LTD,4657650,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Service Maintenance Contracts,2016-07-27,GEOTECHNICAL INSTRUMENTS (UK) LTD,4657490,360,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Supplies & Services,2016-07-20,KIRKLEES METROPOLITAN COUNCIL,4655799,2654.40,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2016-07-20,NORTHUMBRIAN WATER LIMITED (NWL),4657244,2127.62,
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Qualification Training,2016-07-13,RICARDO-AEA LIMITED,4655735,428,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2016-07-27,NPOWER NORTHERN LTD,4656475,2654.75,Half Night Unmetered
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2016-07-18,CITY OF YORK COUNCIL,4657354,214.3,NowMedical Training in York on
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2016-07-18,CITY OF YORK COUNCIL,4657355,347.49,NYHTG admin fee for 201617
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2016-07-27,CITY OF YORK COUNCIL,4657732,430.63,Universal Credit Training
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2016-07-04,ECLIPSE PROPERTIES LIMITED,4656241,1644.30,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2016-07-04,ECLIPSE PROPERTIES LIMITED,4656242,1644.30,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2016-07-04,ECLIPSE PROPERTIES LIMITED,4656385,1644.30,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transfer Payments,R,Community,Homelessness,Discretionary Housing Payments,2016-07-04,ELET,4656327,1050.00,Rent in Advance Payment
Harrogate Borough Council,Transfer Payments,R,Community,Homelessness,Preventing Repossession Fund,2016-07-11,HARROGATE HOUSING ASSOCIATION,4656597,1609.04,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2016-07-27,J H WATSON PROPERTY MANAGEMENT,4657792,600,Rent in Advance
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-18,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4657169,708.89,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-04,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656216,835.04,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-13,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656657,859.07,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-04,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656218,925.16,
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-13,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656655,931.16,
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2016-07-18,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4657200,937.17,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2016-07-25,JENNIFER GILES,4657569,595,Rent in Advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2016-07-06,JENNIFER GILES,4656531,550,Bond Claim Payment
