Body Name,Expenditure Category,Captial/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-10-18,TELESHORE UK LTD,4683645,1945.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2017-10-02,WETHERBY SKIP HIRE SERVICES,4683136,200,various
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2017-10-02,WETHERBY SKIP HIRE SERVICES,4683136,150,various
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-10-30,BULLOUGHS CLEANING SERVICES LTD,4684327,295,HBC  Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-10-30,BULLOUGHS CLEANING SERVICES LTD,4684330,641.33,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-10-30,BULLOUGHS CLEANING SERVICES LTD,4684331,775.67,HBC  Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-11,CORDANT PEOPLE LIMITED,4684416,365.7,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-18,CORDANT PEOPLE LIMITED,4684757,426.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-09,CORDANT PEOPLE LIMITED,4684034,435.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-30,CORDANT PEOPLE LIMITED,4685270,444.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-30,CORDANT PEOPLE LIMITED,4685269,449.48,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-18,CORDANT PEOPLE LIMITED,4684758,524.73,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-09,CORDANT PEOPLE LIMITED,4684033,766.29,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-10-25,CORDANT PEOPLE LIMITED,4684415,819.64,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-10-04,PROFESSIONAL PAPER SUPPLIES LTD,4682743,1108.40,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Equipment,2017-10-18,PROFESSIONAL PAPER SUPPLIES LTD,4683387,219.5,Claro Road Deliveries
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-10-04,PROFESSIONAL PAPER SUPPLIES LTD,4682822,223.85,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-10-18,PROFESSIONAL PAPER SUPPLIES LTD,4683851,253.35,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2017-10-04,BOB COWELL,4684094,320,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-04,EDEN FARM LTD,4682912,672.69,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Other Consultants Fees,2017-10-02,EDGE PUBLIC SOLUTIONS LTD,4684177,22425.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2017-10-18,KILLGERM CHEMICALS LTD,4683609,233.2,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-04,P P SNACK FOODS LTD,4682882,291.38,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-04,P P SNACK FOODS LTD,4682882,23.98,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-04,P P SNACK FOODS LTD,4682882,23.98,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-11,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,374.08,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-11,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,338.54,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-10-11,PELICAN ROUGE COFFEE SOLUTIONS LTD,4683547,338.54,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2017-10-18,PELSIS LIMITED,4683846,731.12,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2017-10-11,STORM ENVIRONMENTAL LIMITED,4683899,2642.40,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2017-10-11,STORM ENVIRONMENTAL LIMITED,4683899,5094.00,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,56.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,56.86,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,105.39,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,105.39,AS60046921
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,BAYDALE CONTROL SYSTEMS LTD,4684105,8916.52,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,BAYDALE CONTROL SYSTEMS LTD,4684106,10643.89,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4683202,2223.00,re inv 441326
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4683193,274.8,re inv 441418
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4683005,274.8,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4683005,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4682706,391.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-30,BEMROSE BOOTH PARAGON LTD,4683004,862.6,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-11,BEMROSE BOOTH PARAGON LTD,4683006,2268.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-10-30,BOB COWELL,4684102,375,Conyngham Hall
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,2017-10-02,G4S CASH SOLUTIONS (UK),4683540,825.16,1 Oct 17  31 Oct 17
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,2118.31,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,552.5,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684176,552.5,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,2431.58,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,1156.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2017-10-25,NEWTON ELECTRICAL CONTRACTORS UK LTD,4684175,1156.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-10-16,NIDDERDALE AGRICULTURAL SOCIETY,4684645,3675.08,Additional rent Nidderdale Showground
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684433,274.72,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684434,274.72,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685117,300.89,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685119,300.89,NA13SOH
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684433,274.72,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684434,274.72,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685117,300.89,NA13SOE
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685119,300.89,NA13SOH
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-10-16,PARK SQUARE PROPERTY MANAGEMENT LTD,4683875,4166.67,Re Station Parade Car Park Harrogate
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-10-18,PARKEON LTD,4683877,616,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-10-18,PARKEON LTD,4683835,1092.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-10-25,REDFERN TRAVEL LTD,4685126,1,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-10-25,REDFERN TRAVEL LTD,4685126,1,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-10-25,REDFERN TRAVEL LTD,4685126,1,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-10-30,SCHEIDT & BACHMANN (UK) LTD,4685201,2750.00,
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-10-30,SCHEIDT & BACHMANN (UK) LTD,4685201,1800.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-10-18,SCHEIDT & BACHMANN (UK) LTD,4684823,1233.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-10-30,WHARFEDALE FINANCE CO.,4684225,850,Car Park Station Road Pannal
Harrogate Borough Council,Premises,R,Community,Car Parking,Water & Sewerage,2017-10-25,YORKSHIRE WATER PLC,4684912,388.06,York Place Car  and  Coach Park
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,70.33,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,117.58,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,72.71,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-10-11,BARRY CARTER MOTOR PRODUCTS LTD,4684194,258.82,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-25,DENNIS EAGLE LTD,4683892,227.52,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-16,DENNIS EAGLE LTD,4684357,272.79,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-11,DENNIS EAGLE LTD,4682908,330.31,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-25,DENNIS EAGLE LTD,4684070,435.16,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-25,DENNIS EAGLE LTD,4684727,860.39,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2017-10-30,DIRECT TYRE MANAGEMENT LTD,4684448,5927.16,
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2017-10-25,DIRECT TYRE MANAGEMENT LTD,4684566,13480.16,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-04,EURO MUNICIPAL LTD,4682724,250,Claro Road supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-18,EVANS HALSHAW DAF LEEDS,4683970,245.64,Claro Road supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-10-30,FUCHS LUBRICANTS (UK) PLC,4685758,548.32,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-04,GIBSONS GARDEN MACHINERY LTD,4682782,232.58,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,MEND A HOSE HYDRAULICS LTD,4683598,226.75,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,MIKE WILSON MOTORS,4683606,581,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-11,MITCHELL DIESEL LTD,4683190,295.5,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-04,MITCHELL DIESEL LTD,4682505,316.47,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-25,NORTHERN RADIATORS LTD,4683998,398,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-25,NORTHERN RADIATORS LTD,4684257,1100.00,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,PROBRUSH,4683697,178.46,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,PROBRUSH,4683697,178.47,Claro Road supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-11,RIX PETROLEUM (HULL) LIMITED,4683104,244.75,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-04,RIX PETROLEUM (HULL) LIMITED,4682715,504.8,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-18,RIX PETROLEUM (HULL) LIMITED,4683656,507.9,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-25,RIX PETROLEUM (HULL) LIMITED,4684078,719.67,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-04,RIX PETROLEUM (HULL) LIMITED,4682716,9484.00,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-18,RIX PETROLEUM (HULL) LIMITED,4683657,9515.00,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-25,RIX PETROLEUM (HULL) LIMITED,4684077,9524.06,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-10-11,RIX PETROLEUM (HULL) LIMITED,4683103,9571.00,Diesel EN590
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,S & W SERVICES (YORKSHIRE) LTD,4684369,270,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,S & W SERVICES (YORKSHIRE) LTD,4684375,340,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-18,S & W SERVICES (YORKSHIRE) LTD,4684375,170,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-11,TERBERG MATEC UK,4683121,416.64,Claro Road supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-10-04,THE AUTOGLAZIERS,4682741,445,Claro Road supplies
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2017-10-02,BAYDALE CONTROL SYSTEMS LTD,4683941,2365.00,
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2017-10-30,BAYDALE CONTROL SYSTEMS LTD,4685779,2365.00,Monthly CCTV Upgrade Maintenance for the period of October 2017
Harrogate Borough Council,Premises,R,Community,Community Safety,Other Premises Related Costs,2017-10-25,BAYDALE CONTROL SYSTEMS LTD,4684107,7194.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2017-10-18,PMD MAGNETICS,4683654,104,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2017-10-18,PMD MAGNETICS,4683654,104,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2017-10-18,PMD MAGNETICS,4683654,39.1,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2017-10-18,PMD MAGNETICS,4683654,31.5,
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2017-10-25,REDFERN TRAVEL LTD,4685126,73.6,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2017-10-16,ST ANDREW PRINT SOLUTIONS,4684829,361,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Equipment,2017-10-25,DOGS TRUST,4684185,246,dog microchips scanners petscanlOO v8
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2017-10-25,NORTHUMBRIAN WATER LIMITED (NWL),4684181,1213.77,Environmental Protection
Harrogate Borough Council,Transport,R,Community,Enviromental Protection,Travel,2017-10-25,REDFERN TRAVEL LTD,4685126,106,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.7,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-04,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,14.69,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.22,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-25,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,14.2,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.34,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-10-02,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,26.35,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Miscellaneous Expenditure,2017-10-25,NORTH YORKSHIRE COUNTY COUNCIL,4684751,395491.69,2nd qtr Surplus payment 201718
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684433,137.36,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684433,137.36,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684434,137.36,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4684434,137.36,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685117,150.45,NA13SOE
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685117,150.44,NA13SOE
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685119,150.45,NA13SOH
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-10-25,NORTHGATE VEHICLE HIRE LTD,4685119,150.44,NA13SOH
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-10-02,CROFT PROPERTIES (HARROGATE) LTD,4684118,1150.00,Bond and rent in advance
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2017-10-11,ECLIPSE PROPERTIES LIMITED,4684497,986.58,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2017-10-11,ECLIPSE PROPERTIES LIMITED,4684499,1534.68,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-10-04,JOHN WILLIS PROPERTIES LIMITED,4682753,700,Bond Rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-10-09,KARL HANOVER PROPERTIES LTD,4684511,425,Rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-10-11,LENTINSMITH,4684569,650,Bond and rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2017-10-11,LENTINSMITH,4684569,780,Bond and rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-10-23,MARTIN SERVICES LTD,4685169,685,Rent in advance
