Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204065/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204069/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204317/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204152/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204316/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204318/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204067/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204233/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204071/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204209/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204319/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204173/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204174/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204320/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204208/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204241/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204066/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575983,98.16,204148/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,HELP-LINK UK LTD,1577067,304.98,207418/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,HELP-LINK UK LTD,1573033,3662.71,203696/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,HELP-LINK UK LTD,1577066,3850.16,204831/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,HELP-LINK UK LTD,1576391,4134.81,204832/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-29,HOWDENS JOINERY LTD,4633816,263.76,COUNCIL PROPERTY SVS
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,J HEWSON (BUILDERS) LTD,1577075,4941.00,206545/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,MANSE MASTERDOR LTD,1576394,675.00,197041/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-22,MANSE MASTERDOR LTD,1576786,675.00,207563/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-22,MANSE MASTERDOR LTD,1576788,717.00,198817/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-22,MANSE MASTERDOR LTD,1576789,717.00,197020/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,MANSE MASTERDOR LTD,1576398,924.00,194926/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-15,MASTERDOR LTD,4633330,675.00,VAN STOCK
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-15,MASTERDOR LTD,4633348,717.00,VAN STOCK
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,201409/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,202538/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,203354/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,203537/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,203651/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,203811/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,204619/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,204934/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,197306/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,199029/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,200485/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,200940/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,MATTHEW FLETCHER,1576304,30.00,204618/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,MITIE PROPERTY SERVICES (UK) LTD,1576399,591.00,206177/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,NETSAT AERIALS LTD,1576400,340.00,205783/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Other Supplies & Services,2015-07-06,NORTHGATE VEHICLE HIRE LTD,4633191,532.00,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Other Supplies & Services,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634590,19.00,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4633841,280.98,VAN HIR JUNE 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634567,280.98,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634571,280.98,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634923,287.80,VAN STOCK
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-22,NORTHGATE VEHICLE HIRE LTD,4634588,320.38,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4633839,326.30,van hire june 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4633932,326.30,13042015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634563,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634566,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634568,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634573,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634574,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634575,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634576,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634577,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634578,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634580,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634581,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634582,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634583,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634585,326.30,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634909,326.30,VAN HIRE JUNE 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634921,326.30,van hire june 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634922,326.30,VAN HIRE JUNE 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634924,326.30,van hire june 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634579,337.93,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-22,NORTHGATE VEHICLE HIRE LTD,4634587,357.16,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634915,363.08,VAN HIRE JUNE 2015
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634586,407.98,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634570,445.00,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634572,512.12,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-15,NORTHGATE VEHICLE HIRE LTD,4633275,4186.88,prop services
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-29,SOLARY LTD,1577091,500.00,205630/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-29,SSE CONTRACTING LTD,1577099,355.05,203847/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-15,SSE CONTRACTING LTD,1576405,308.00,203013/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,SSE CONTRACTING LTD,1573043,473.50,203340/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-27,TARMAC BUILDING PRODUCTS LTD,4634777,213.66,PROPERTY SERVICES
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-08,TARMAC BUILDING PRODUCTS LTD,4632705,665.00,ihmt
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-22,TUNSTON CONSTRUCTION LTD,1576012,492.80,203183/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-22,TUNSTON CONSTRUCTION LTD,1576011,572.25,202706/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,TUNSTON CONSTRUCTION LTD,1573054,216.15,203733/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,TUNSTON CONSTRUCTION LTD,1573055,380.60,203732/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,TUNSTON CONSTRUCTION LTD,1572718,560.00,203400/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576424,369.26,202503/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576429,369.26,203947/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573066,450.83,203230/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573068,450.83,203874/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573061,536.89,203234/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573067,566.76,203907/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573065,664.26,203875/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573064,686.18,202514/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576425,738.52,202500/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573059,820.09,202505/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573062,1189.35,203229/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576427,1233.19,203228/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576426,1394.81,202507/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573063,1438.52,203061/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,VULCAN WINDOWS LTD,1576428,1755.32,202453/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,VULCAN WINDOWS LTD,1577115,1960.63,202448/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-01,VULCAN WINDOWS LTD,1573060,4238.54,202497/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Waste Disposal Charges,2015-07-29,WETHERBY SKIP HIRE SERVICES,4633966,323.33,ihmt
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Waste Disposal Charges,2015-07-29,WETHERBY SKIP HIRE SERVICES,4633965,4135.82,ihmt
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-29,WHARFEDALE DECORATIONS LTD,1577118,518.00,205409/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-15,WHARFEDALE DECORATIONS LTD,1573070,630.00,201863/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573078,404.00,204664/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573072,414.00,202793/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,WHARFEDALE DECORATIONS LTD,1577117,416.00,204451/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573076,488.00,203978/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573079,576.00,204981/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573081,576.00,202975/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573077,628.00,204465/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573075,646.00,203625/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573080,696.00,204919/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573071,728.00,202561/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573073,900.00,202988/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-29,WHARFEDALE DECORATIONS LTD,1577116,1212.00,203727/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-15,WHARFEDALE DECORATIONS LTD,1573074,1454.00,203255/2
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-20,WOLSELEY UK LTD,4633249,337.38,PROPERTY SERVICES
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-06,WOLSELEY UK LTD,4632789,549.53,PROP SRVS
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-13,WOLSELEY UK LTD,4633048,762.77,PROP SRVS
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-27,WOLSELEY UK LTD,4633969,1049.68,PROP SRVS
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-27,WOLSELEY UK LTD,4633970,1079.05,PROP SRVS
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-06,WOLSELEY UK LTD,4632792,1586.53,ihmt
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-20,WOLSELEY UK LTD,4633250,2197.91,PROP SRVS
Harrogate Borough Council,Premises,R,Community,Wardens Service,Gas,2015-07-29,BRITISH GAS TRADING LTD,4634895,283.63,GAS - CARLTON LODGE
Harrogate Borough Council,Premises,R,Community,Wardens Service,Gas,2015-07-29,BRITISH GAS TRADING LTD,4634889,289.94,GAS - HEWITSON COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Gas,2015-07-29,BRITISH GAS TRADING LTD,4634907,637.83,"GAS - MAPLE CREEK, MASHAM"
Harrogate Borough Council,Premises,R,Community,Wardens Service,Gas,2015-07-29,BRITISH GAS TRADING LTD,4634905,828.57,GAS - BONDGATE COURT COMMUNITY CENTRE
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632397,231.48,ELEC - COLLINS COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-29,NPOWER LTD,4634346,234.03,ELEC COLLINS COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-29,NPOWER LTD,4634332,282.26,ELEC HEWITSON COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632319,300.70,ELEC - HEWITSON COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-29,NPOWER LTD,4634322,392.39,ELEC BONDGATE COMM HALL
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632309,403.65,ELEC - BONDGATE COURT COMMUNITY HALL
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-29,NPOWER LTD,4634325,459.25,ELEC BLOSSOMGATE COURT
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632310,483.39,Elec-Blossomgate Court
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632329,489.58,ELEC - CARLTON LODGE
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-29,NPOWER LTD,4634362,500.29,ELEC CARLTON LODGE
Harrogate Borough Council,Premises,R,Community,Wardens Service,Electricity,2015-07-01,NPOWER LTD,4632308,652.67,"ELEC - MAPLE CREEK, MASHAM (COMMUNAL)"
Harrogate Borough Council,Supplies and Services,R,Community,Wardens Service,Wel being Charges,2015-07-22,WEALDEN & EASTBOURNE LIFELINE LTD,4634674,2605.63,Monitoring services
Harrogate Borough Council,Supplies and Services,R,Community,Waste & Environmental Services Unit,Waste Disposal Charges,2015-07-13,A1 TRUCK AND PLANT HIRE,4633450,552.00,
Harrogate Borough Council,Supplies and Services,R,Community,Waste & Environmental Services Unit,Waste Disposal Charges,2015-07-01,A1 TRUCK AND PLANT HIRE,4630359,1173.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,46.82,Fuel June 15
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Waste & Environmental Services Unit,Stock Purchases,2015-07-01,ARCO LTD,4632964,344.56,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Hire of Vehicles/Plant,2015-07-29,ARROW SELF DRIVE,4633541,239.00,CK63SVX Citroen Berlingo
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Reactive Repairs & Maint - F&F,2015-07-01,BOB COWELL,4631831,254.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Reactive Repairs & Maint - F&F,2015-07-01,BOB COWELL,4631829,282.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Reactive Repairs & Maint - F&F,2015-07-29,BOB COWELL,4633864,46.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Reactive Repairs & Maint - F&F,2015-07-29,BOB COWELL,4633864,190.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Reactive Repairs & Maint - F&F,2015-07-29,BOB COWELL,4633864,48.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Street Cleansing Other,2015-07-01,BOB COWELL,4631830,1240.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Street Cleansing Other,2015-07-29,BOB COWELL,4634126,1240.00,
Harrogate Borough Council,Premises,R,Community,Waste & Environmental Services Unit,Refuse Collection/Removal,2015-07-29,BOB COWELL,4634123,400.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-29,BRENNTAG UK LIMITED,4634429,222.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-29,BRENNTAG UK LIMITED,4634429,133.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-29,BRENNTAG UK LIMITED,4634429,22.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-29,BRENNTAG UK LIMITED,4634429,89.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-29,BRENNTAG UK LIMITED,4634429,89.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-08,BRENNTAG UK LIMITED,4632459,89.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-08,BRENNTAG UK LIMITED,4632459,89.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-08,BRENNTAG UK LIMITED,4632459,133.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-08,BRENNTAG UK LIMITED,4632459,222.00,
Harrogate Borough Council,Transport,R,Community,Waste & Environmental Services Unit,Fuel/Oil,2015-07-08,BRENNTAG UK LIMITED,4632459,22.00,
Harrogate Borough Council,Employees,R,Community,Waste & Environmental Services Unit,Temporary Staff,2015-07-22,BROOK STREET (UK) LTD,4634287,328.28,REDACTED PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Waste & Environmental Services Unit,Temporary Staff,2015-07-01,BROOK STREET (UK) LTD,4633228,418.84,REDACTED PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Waste & Environmental Services Unit,Temporary Staff,2015-07-01,BROOK STREET (UK) LTD,4633230,418.84,REDACTED PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Waste & Environmental Services Unit,Temporary Staff,2015-07-15,BROOK STREET (UK) LTD,4633819,418.84,REDACTED PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Waste & Environmental Services Unit,Temporary Staff,2015-07-15,BROOK STREET (UK) LTD,4633820,418.84,REDACTED PERSONAL DATA
