Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633783,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633783,91.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633783,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,91.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,113.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,18.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,113.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,91.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,18.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633784,30.00,MOT TEST
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-07-15,POST OFFICE LTD,4634018,280.00,Vehicle tax for August 201 5
Harrogate Borough Council,Transport,R,Community,Central Transport,Standing Charges,2015-07-15,POST OFFICE LTD,4634018,280.00,Vehicle tax for August 201 5
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Service Maintenance Contracts,2015-07-29,PUMP AND PIPEWORK SERVICES LTD,4635044,420.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-01,S & W SERVICES (YORKSHIRE) LTD,4632026,238.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-29,S & W SERVICES (YORKSHIRE) LTD,4633732,238.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-29,S & W SERVICES (YORKSHIRE) LTD,4633733,298.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633376,68.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633376,68.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,S & W SERVICES (YORKSHIRE) LTD,4632805,480.47,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,S & W SERVICES (YORKSHIRE) LTD,4632805,12.35,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,S & W SERVICES (YORKSHIRE) LTD,4632806,129.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,S & W SERVICES (YORKSHIRE) LTD,4632806,288.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633412,298.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633414,237.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-29,S & W SERVICES (YORKSHIRE) LTD,4633735,238.50,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633376,254.00,
