Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,40.80,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,68.88,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,76.56,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,68.88,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,81.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000971,30.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-08,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000975,464.36,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-01,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000974,659.28,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,263,Marketing/ Promotion,2022-06-22,230784,MONARCH PRINT,6001162,2614.50,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,268,Other Consultants Fees,2022-06-13,230531,Redacted  Personal Data,6001113,1400.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,201,Materials,2022-06-15,226645,NEOM LIMITED,6001061,869.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-08,226645,NEOM LIMITED,6000950,956.60,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,268,Other Consultants Fees,2022-06-08,203024,NORTH YORKSHIRE COUNTY COUNCIL,6000983,12860.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-15,227224,PPL PRS LTD,6001107,972.63,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,278,Licence Fees,2022-06-13,227224,PPL PRS LTD,6001106,1789.44,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,278,Licence Fees,2022-06-13,227224,PPL PRS LTD,6001108,4968.12,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,433,Other Supplies & Services,2022-06-06,227224,PPL PRS LTD,6001068,712.30,Knaresborough Swimming Pool
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,279,Performing Rights Fees,2022-06-20,227224,PPL PRS LTD,6001110,1457.66,Performing Rights Fees
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,263,Marketing/ Promotion,2022-06-15,218924,YORKSHIRE FILM ARCHIVE,6001111,1025.00,
