Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-03-07,DR VIVIENNE JAYNE POSKITT,4693946,1332,Dr V Poskitt February 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2018-03-07,FACULTATIEVE TECHNOLOGIES LTD,4692186,857.48,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-03-28,G.E.M PRECAST LTD,4695212,245.5,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2018-03-26,G.E.M PRECAST LTD,4695173,297.6,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-03-28,RAPID 3D SOLUTIONS LTD,4695488,366,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-03-14,SAM TURNER & SONS LTD,4694236,764.89,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Grounds Maintenance Grants,2018-03-12,ST CUTHBERTS CHURCH,4694134,352.76,Cemetery maintenance grant 2017  18 St Cuthberts
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-03-28,BULLOUGHS CLEANING SERVICES LTD,4693753,295,For cleaning carried out as scheduled
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-03-28,BULLOUGHS CLEANING SERVICES LTD,4693836,641.33,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-03-28,BULLOUGHS CLEANING SERVICES LTD,4693835,775.67,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-03-12,CORDANT PEOPLE LIMITED,4693737,542.45,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-03-21,CORDANT PEOPLE LIMITED,4694664,835.02,
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-26,NORTHGATE VEHICLE HIRE LTD,4693727,212,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-26,NORTHGATE VEHICLE HIRE LTD,4693728,212,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-26,NORTHGATE VEHICLE HIRE LTD,4693730,212,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-26,NORTHGATE VEHICLE HIRE LTD,4694005,212,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-28,NORTHGATE VEHICLE HIRE LTD,4693688,57,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-03-19,NORTHGATE VEHICLE HIRE LTD,4694225,57,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2018-03-05,PHS GROUP PLC,4692522,404.58,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2018-03-28,DRIVER & VEHICLE LICENSING AGENCY,4695035,480,PQ  Tachograph cards
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2018-03-07,NORTH YORKSHIRE COUNTY COUNCIL,4693884,35065.95,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2018-03-07,NORTH YORKSHIRE COUNTY COUNCIL,4693885,41442.04,
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2018-03-28,PAUL WHITAKER,4693653,456,Killinghall Moor Changing Rooms  Cleaning
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2018-03-07,PAUL WHITAKER,4692412,570,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,59.94,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,59.94,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,62.6,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,62.6,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,63.38,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,58.55,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,63.38,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,58.55,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,64.38,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,121.24,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,64.38,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,121.24,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-03-21,BEMROSE BOOTH PARAGON LTD,4691434,889.2,credit trans 4690440
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-03-21,BEMROSE BOOTH PARAGON LTD,4693061,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-03-21,BEMROSE BOOTH PARAGON LTD,4693061,1037.4,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2018-03-28,BOB COWELL,4694639,486,Removed 2 large litter bins and disposed of old litter bins
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2018-03-28,BOB COWELL,4694640,683,Removed 3 double litter bins
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,2018-03-07,G4S CASH SOLUTIONS (UK),4693267,854.1,Contract 2793881 Services between 01Mar2018  31 Mar2018
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,2018-03-28,G4S CASH SOLUTIONS (UK),4694732,854.1,ACCR1819 Contract 2793881 Services between 01Apr2018 and 30 Apr 18
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Equipment,2018-03-05,HARROGATE IN BLOOM,4693314,276,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2018-03-28,HER MAJESTYÔS COURTS SERVICE,4695250,5000,PQ  ACCR1718  To register debts at TEC
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2018-03-28,HER MAJESTYÔS COURTS SERVICE,4695250,885,PQ  ACCR1718  To register debts at TEC
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2018-03-28,HER MAJESTYÔS COURTS SERVICE,4695250,5000,PQ  ACCR1718  To register debts at TEC
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2018-03-07,KELTIC LTD,4692383,1110.7,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-03-05,LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,4692892,104.1,4x4 Permit Holder
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-03-05,LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,4692890,301.9,Letterhead Permit  No laminate
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2018-03-28,MARLBOROUGH RADIO SERVICES,4694102,128,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-28,NORTHGATE VEHICLE HIRE LTD,4693705,236,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-03-28,NORTHGATE VEHICLE HIRE LTD,4693706,236,NA13SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-03-28,NORTHGATE VEHICLE HIRE LTD,4693688,19,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-03-28,NORTHGATE VEHICLE HIRE LTD,4693688,19,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-03-19,NORTHGATE VEHICLE HIRE LTD,4694225,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-03-19,NORTHGATE VEHICLE HIRE LTD,4694225,19,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2018-03-21,PARK SQUARE PROPERTY MANAGEMENT LTD,4694143,14375,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2018-03-21,PARKEON LTD,4694362,616,Services for Parking Equipment
Harrogate Borough Council,Premises,C,Community,Car Parking,Payments to Ext Contractors,2018-03-26,VOLKERLASER LTD,4694969,97813.86,PQ  Interim No 1
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,62.98,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,98.32,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,49.95,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,95.07,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-03-28,BARRY CARTER MOTOR PRODUCTS LTD,4693668,231.17,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,CROSSROADS TRUCK & BUS,4693732,458.82,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,DENNIS EAGLE LTD,4692824,209.12,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,DENNIS EAGLE LTD,4693857,159.67,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,DENNIS EAGLE LTD,4693073,408.11,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,DENNIS EAGLE LTD,4692822,315.26,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,DENNIS EAGLE LTD,4692822,159.67,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,DENNIS EAGLE LTD,4693932,589.58,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-07,DENNIS EAGLE LTD,4692820,2427.1,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-28,DENNIS EAGLE LTD,4693857,219.1,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-28,DENNIS EAGLE LTD,4693851,438.2,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2018-03-28,DIRECT TYRE MANAGEMENT LTD,4694096,3805.28,CONTRACT TYRE AND SERVICE COSTS
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,EVANS HALSHAW DAF LEEDS,4692722,216.66,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,EVANS HALSHAW DAF LEEDS,4693678,290.84,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-14,EVANS HALSHAW DAF LEEDS,4693191,222.08,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,FG ADAMSON & SON,4692699,408.94,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,GEMCO EQUIPMENT LTD,4694398,3900,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-03-28,GEMCO SERVICES,4694402,225.81,credit trans 4693960
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-03-28,GEMCO SERVICES,4693960,2399.57,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,JOHNSTON SWEEPERS LTD,4694443,230.93,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-07,MIKE WILSON MOTORS,4692374,695,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-21,RIX PETROLEUM (HULL) LIMITED,4693502,276.63,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-07,RIX PETROLEUM (HULL) LIMITED,4692416,282,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-28,RIX PETROLEUM (HULL) LIMITED,4693966,284.46,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-14,RIX PETROLEUM (HULL) LIMITED,4692949,9215.44,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-21,RIX PETROLEUM (HULL) LIMITED,4693501,9560.09,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-28,RIX PETROLEUM (HULL) LIMITED,4693965,9627.66,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-03-07,RIX PETROLEUM (HULL) LIMITED,4692414,10726.1,Diesel EN590
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,S & W SERVICES (YORKSHIRE) LTD,4693259,369,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-07,S & W SERVICES (YORKSHIRE) LTD,4692512,404.86,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-21,S & W SERVICES (YORKSHIRE) LTD,4693258,595,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-07,TERBERG MATEC UK,4692375,226.65,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-07,TERBERG MATEC UK,4692376,238.66,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-21,TERBERG MATEC UK,4693025,339.74,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,TERBERG MATEC UK,4693235,401.78,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,TERBERG MATEC UK,4693779,449.36,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,TERBERG MATEC UK,4693780,667.06,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-28,TERBERG MATEC UK,4693778,759.17,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,THE AUTOGLAZIERS,4693022,265,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,THE AUTOGLAZIERS,4693023,265,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-21,THE AUTOGLAZIERS,4693236,265,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-03-14,THE AUTOGLAZIERS,4694239,265,Claro Road Supplies
Harrogate Borough Council,Employees,R,Community,Civil Contingencies,Staff Advertising,2018-03-12,EPS TRAINING AND EVENTS LTD,4691097,399,
Harrogate Borough Council,Employees,R,Community,Civil Contingencies,Non Qualification Training,2018-03-26,NORTH YORKSHIRE COUNTY COUNCIL,4695006,500,CONTRIBUTION TO NYLRF TRAINING  and  EXERCISE FUND  500
Harrogate Borough Council,Employees,R,Community,Commercial Services,Professional Subscriptions,2018-03-12,CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,4694088,1440,
Harrogate Borough Council,Transport,R,Community,Commercial Services,Travel,2018-03-21,REDFERN TRAVEL LTD,4694051,265,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2018-03-28,BAYDALE CONTROL SYSTEMS LTD,4694301,2365,Monthly CCTV Upgrade Maintenance for the period of March 2018
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2018-03-12,CROWNE PLAZA,4694164,190,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2018-03-12,CROWNE PLAZA,4694164,839.17,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Subsistence,2018-03-21,REDFERN TRAVEL LTD,4694051,141.83,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2018-03-21,REDFERN TRAVEL LTD,4694051,82.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2018-03-21,REDFERN TRAVEL LTD,4694051,82.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2018-03-07,THE SAFETY LETTER BOX COMPANY LTD,4693010,428,
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Professional Subscriptions,2018-03-12,CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,4694088,1080,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2018-03-05,NORTHUMBRIAN WATER LIMITED (NWL),4693116,1287.25,Environmental Protection
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2018-03-26,KNARESBOROUGH TOWN COUNCIL,4695060,6500,PQ  ACCR1718 Match payment Knaresborough Christmas Lights 201718
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692789,14859.19,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4690664,4355.57,Half Night Unmetered Supplies
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692790,1182.18,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692791,1088.75,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4689390,842.23,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4691478,1088.75,Halt Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4691479,1182.18,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4693900,9398.01,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4690661,12337.73,Half Night Unmetered Supplies
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692786,12337.73,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4690662,13396.27,Half Night Unmetered Supplies
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692788,13396.27,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692785,14859.19,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,2018-03-21,NPOWER NORTHERN LTD,4692787,16134.08,Half Night Unmetered
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2018-03-26,RIPON CITY COUNCIL,4695059,6500,PQ  ACCR1718 Match payment Ripon Christmas Lights 1718
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,14.99,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,14.99,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,14.99,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4693833,14.97,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,15.65,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,15.65,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,15.65,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-05,ALLSTAR BUSINESS SOLUTIONS LTD,4693431,15.65,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,15.85,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,15.85,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,15.85,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,15.85,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,14.64,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,14.64,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,14.64,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,14.61,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,16.1,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,16.1,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,16.1,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,16.1,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,30.31,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,30.31,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,30.31,AS60046921
