Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Other Supplies & Services,2018-02-21,PANNAL ASH JUNIOR FOOTBALL CLUB,4693151,3500.00,Reimbursement
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2018-02-05,PAUL WHITAKER,4688358,456,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2018-02-21,UK CONTAINER MAINTENANCE LTD,4691759,1558.08,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2018-02-21,UK CONTAINER MAINTENANCE LTD,4691759,405.92,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2018-02-14,BEMROSE BOOTH PARAGON LTD,4690440,934.2,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2018-02-19,DUFFIELDS,4692592,1543.64,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2018-02-14,IXP LTD,4692532,275,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2018-02-19,NEWTON ELECTRICAL CONTRACTORS UK LTD,4691261,414.09,Installation of 2 x Spot Lights at Victoria Car Park
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2018-02-19,NEWTON ELECTRICAL CONTRACTORS UK LTD,4691261,261.25,Installation of 2 x Spot Lights at Victoria Car Park
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2018-02-19,NEWTON ELECTRICAL CONTRACTORS UK LTD,4691261,261.25,Installation of 2 x Spot Lights at Victoria Car Park
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-02-26,NORTHGATE VEHICLE HIRE LTD,4692218,271.4,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2018-02-26,NORTHGATE VEHICLE HIRE LTD,4692286,271.4,NA13SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-02-19,NORTHGATE VEHICLE HIRE LTD,4692421,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2018-02-19,NORTHGATE VEHICLE HIRE LTD,4692421,19,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2018-02-21,PARKEON LTD,4691610,616,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2018-02-21,PARKEON LTD,4691612,1092.00,Services for Parking Equipment
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,437.92,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,2474.15,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,2474.15,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,AIR-WEIGH EUROPE LIMITED,4691630,507.85,Claro Road supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-02-21,ALLIANCE ELECTRONICS LTD,4693015,519.8,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-14,BARRY CARTER MOTOR PRODUCTS LTD,4691949,294.81,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,CROSSROADS TRUCK & BUS,4690797,352.31,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,CROSSROADS TRUCK & BUS,4691537,378,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,CROSSROADS TRUCK & BUS,4691781,435,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,DENNIS EAGLE LTD,4690709,217.42,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,DENNIS EAGLE LTD,4691695,233.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,DENNIS EAGLE LTD,4690209,245.82,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,DENNIS EAGLE LTD,4690208,127.2,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,DENNIS EAGLE LTD,4690208,127.21,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,DENNIS EAGLE LTD,4691523,265.8,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,DENNIS EAGLE LTD,4692200,268.6,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,DENNIS EAGLE LTD,4690793,304.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,DENNIS EAGLE LTD,4690911,364.8,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,DENNIS EAGLE LTD,4691524,421.62,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,DENNIS EAGLE LTD,4692201,422.7,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,DENNIS EAGLE LTD,4690803,562.15,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,DENNIS EAGLE LTD,4690804,1350.35,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,DENNIS EAGLE LTD,4691670,2075.48,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2018-02-28,DIRECT TYRE MANAGEMENT LTD,4692472,3498.06,TYRE AND SERVICE COSTS FOR JANUARY
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2018-02-14,DIRECT TYRE MANAGEMENT LTD,4692594,4049.48,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,EURO MUNICIPAL LTD,4691284,300,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-28,EVANS HALSHAW DAF LEEDS,4692001,334.38,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-19,FLEET AUTO BODIES LTD,4692565,886.88,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Subscriptions,2018-02-28,FREIGHT TRANSPORT ASSOCIATION,4692133,1032.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GEMCO EQUIPMENT LTD,4693090,9895.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691625,229.8,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691918,80.78,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691918,161.94,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691918,5.14,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,60.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,60.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,42.93,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,90.66,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,42.05,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691915,129.82,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,64.91,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,60.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,129.82,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,59.84,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,59.84,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,60.79,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,GIBSONS GARDEN MACHINERY LTD,4691626,60.79,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691918,55.25,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-28,GIBSONS GARDEN MACHINERY LTD,4691918,77.42,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,J D MACADAM & SON LIMITED,4692000,225,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,JOHNSTON SWEEPERS LTD,4691535,254.65,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-19,MEND A HOSE HYDRAULICS LTD,4691999,322.96,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-02-28,NTT SUPPLIES,4691772,321.8,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,PROBRUSH,4690789,89.23,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,PROBRUSH,4690789,89.23,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,PROBRUSH,4690789,89.23,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,PROBRUSH,4690789,89.24,Claro Road Supplies
Harrogate Borough Council,Premises,R,Community,Central Transport,Heating Oil,2018-02-07,RIX PETROLEUM (HULL) LIMITED,4690430,2074.00,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-14,RIX PETROLEUM (HULL) LIMITED,4690817,261.55,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-28,RIX PETROLEUM (HULL) LIMITED,4692005,547.6,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-21,RIX PETROLEUM (HULL) LIMITED,4691497,551.5,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-07,RIX PETROLEUM (HULL) LIMITED,4690418,1555.50,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-21,RIX PETROLEUM (HULL) LIMITED,4691495,9826.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-07,RIX PETROLEUM (HULL) LIMITED,4690417,9867.83,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-28,RIX PETROLEUM (HULL) LIMITED,4691868,10765.70,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-14,RIX PETROLEUM (HULL) LIMITED,4690818,10892.20,Diesel EN590
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2018-02-26,S & W SERVICES (YORKSHIRE) LTD,4692710,46.2,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692717,239,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692711,79.5,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692711,95,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692711,79.5,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692715,263.9,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692714,398,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692718,398.52,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692721,495,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-26,S & W SERVICES (YORKSHIRE) LTD,4692707,542.5,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,S & W SERVICES (YORKSHIRE) LTD,4690625,167,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-26,S & W SERVICES (YORKSHIRE) LTD,4692710,190,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-21,S & W SERVICES (YORKSHIRE) LTD,4692713,578,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-14,S & W SERVICES (YORKSHIRE) LTD,4690625,500,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,SPALDINGS (UK) LTD,4691623,17.42,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,SPALDINGS (UK) LTD,4691623,11.66,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2018-02-14,SPALDINGS (UK) LTD,4691623,205.5,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,STONEACRE YORK,4692105,701.92,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-28,TERBERG MATEC UK,4691627,268.31,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-07,TERBERG MATEC UK,4690919,642.97,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,TERBERG MATEC UK,4690921,94.73,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,TERBERG MATEC UK,4690921,277.4,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,TERBERG MATEC UK,4690921,375.9,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-14,TERBERG MATEC UK,4690920,801.98,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,TERBERG MATEC UK,4691319,821.68,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2018-02-21,TERBERG MATEC UK,4691509,904.53,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Subscriptions,2018-02-12,CAMPDEN BRI (CHIPPING CAMPDEN) LTD,4692423,357,Membership fee for the year commencing 2018
Harrogate Borough Council,Employees,R,Community,Commercial Services,Non Qualification Training,2018-02-21,DURHAM COUNTY COUNCIL,4692828,480,Training event  Cured Dried and Fermented Meats
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2018-02-05,BAYDALE CONTROL SYSTEMS LTD,4691722,2365.00,Monthly CCTV Upgrade Maintenance for the period of January 201 8
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2018-02-28,BAYDALE CONTROL SYSTEMS LTD,4693060,2365.00,Monthly CCTV Upgrade Maintenance for the period of February 2017
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2018-02-28,NORTH YORKSHIRE COUNTY COUNCIL,4693490,300,Ripon Summer Holiday Project Grant 201718
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2018-02-21,REDFERN TRAVEL LTD,4691955,10.9,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2018-02-21,REDFERN TRAVEL LTD,4691955,10.9,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Equipment,2018-02-19,SAM INTERNATIONAL B.V.,4692568,473,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2018-02-28,PATELEY BRIDGE TOWN COUNCIL,4692874,1000.00,Match payment Pateley Br Christmas Lughts 201718
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Harrogate & Ripon Xmas Lights,2018-02-28,THE FESTIVE LIGHTING COMPANY LTD,4691672,1584.00,
Harrogate Borough Council,Premises,R,Community,Highways,Payments to Ext Contractors,2018-02-12,JAPS ENGINEERING,4691668,980,
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2018-02-19,NORTHGATE VEHICLE HIRE LTD,4692421,9.5,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2018-02-19,NORTHGATE VEHICLE HIRE LTD,4692421,9.5,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,73.98,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,100.2,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,61.86,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,1714.09,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2018-02-14,PATROL,4691199,86.1,PCN Charge for 4th Quarter 201 71 8
Harrogate Borough Council,Premises,R,Community,Highways,Payments to Ext Contractors,2018-02-14,SCHEIDT & BACHMANN (UK) LTD,4691101,784.88,Articulated Barrier Arm
