Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-11-08,BEMROSE BOOTH PARAGON LTD,4685003,45,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-11-20,DESIGNA UK LTD,4686232,246.5,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,2017-11-01,G4S CASH SOLUTIONS (UK),4685167,825.16,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Cash Collection Fees,2017-11-29,G4S CASH SOLUTIONS (UK),4687370,825.16,
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Other Consultants Fees,2017-11-20,HILL CANNON CONSULTING LLP,4685951,5500.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2017-11-22,KELTIC LTD,4686279,236.4,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2017-11-01,KELTIC LTD,4684691,331.7,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-11-29,LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,4686287,1035.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-11-08,NIDDERDALE AGRICULTURAL SOCIETY,4686223,625,Lease of Land for Car Park Bewerley Park
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687202,287.8,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687202,287.8,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687203,287.8,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687203,287.8,
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2017-11-27,PARK SQUARE PROPERTY MANAGEMENT LTD,4685848,14000.00,Rent 18 Oct - 24 Dec 2017 Station Parade Car Park
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-11-29,PARKEON LTD,4686579,2493.75,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-11-22,PARKEON LTD,4686197,616,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2017-11-22,PARKEON LTD,4686196,1092.00,2345352
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,2124.85,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,2124.85,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,376.1,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-11-27,REDFERN TRAVEL LTD,4686503,158,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-11-27,REDFERN TRAVEL LTD,4686503,158,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Subsistence,2017-11-27,REDFERN TRAVEL LTD,4686503,3,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-11-27,SCHEIDT & BACHMANN (UK) LTD,4687458,3375.00,
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-11-15,SCHEIDT & BACHMANN (UK) LTD,4685715,67563.00,
Harrogate Borough Council,Supplies and Services,C,Community,Car Parking,Equipment,2017-11-15,SCHEIDT & BACHMANN (UK) LTD,4685200,157647.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-08,AIR-WEIGH EUROPE LIMITED,4684819,225,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,74.09,AS60046921
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-20,ANDREW PAGE LTD,4686666,584.1,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-11-08,BARRY CARTER MOTOR PRODUCTS LTD,4686359,213.66,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-11-13,BARRY CARTER MOTOR PRODUCTS LTD,4686358,219.92,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-11-22,BARRY CARTER MOTOR PRODUCTS LTD,4686361,255.29,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,CROSSROADS TRUCK & BUS,4686997,378,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,DENNIS EAGLE LTD,4686792,239.08,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-01,DENNIS EAGLE LTD,4684711,279.25,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-08,DENNIS EAGLE LTD,4684712,304.28,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,DENNIS EAGLE LTD,4686793,23.18,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,DENNIS EAGLE LTD,4686793,23.18,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,DENNIS EAGLE LTD,4686793,23.18,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,DENNIS EAGLE LTD,4686793,23.18,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,DENNIS EAGLE LTD,4686793,238.66,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,DENNIS EAGLE LTD,4686161,426.4,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,DENNIS EAGLE LTD,4685245,454.92,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,DENNIS EAGLE LTD,4686193,803.14,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-22,DENNIS EAGLE LTD,4686128,212.72,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,EURO MUNICIPAL LTD,4685831,300,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-08,EURO MUNICIPAL LTD,4685069,550,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-29,EVANS HALSHAW DAF LEEDS,4687069,237.68,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-01,EVANS HALSHAW DAF LEEDS,4684626,384.36,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-01,FG ADAMSON & SON,4684500,249,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2017-11-01,FUCHS LUBRICANTS (UK) PLC,4685788,237.6,Claro Road Supplies
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-01,FUCHS LUBRICANTS (UK) PLC,4685778,1873.08,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,GIBSONS GARDEN MACHINERY LTD,4686186,602.63,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,JOHNSTON SWEEPERS LTD,4686158,378.52,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-01,JOHNSTON SWEEPERS LTD,4684686,456.15,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,MEND A HOSE HYDRAULICS LTD,4685238,398.53,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-01,MEND A HOSE HYDRAULICS LTD,4684669,431.24,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,MIKE WILSON MOTORS,4686184,422.04,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,MIKE WILSON MOTORS,4685063,672.77,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-22,NORTHERN COMMERCIALS (MIRFIELD) LTD,4687215,1874.73,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-01,QPS PLASTICS LTD,4685789,224,Claro Road Supplies
Harrogate Borough Council,Premises,R,Community,Central Transport,Heating Oil,2017-11-15,RIX PETROLEUM (HULL) LIMITED,4685274,1002.20,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-15,RIX PETROLEUM (HULL) LIMITED,4685275,511.1,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-01,RIX PETROLEUM (HULL) LIMITED,4684526,518.3,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-29,RIX PETROLEUM (HULL) LIMITED,4686466,525.42,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-08,RIX PETROLEUM (HULL) LIMITED,4684851,768.45,Gas Oil
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-15,RIX PETROLEUM (HULL) LIMITED,4685278,9552.10,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-08,RIX PETROLEUM (HULL) LIMITED,4684852,9559.00,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-01,RIX PETROLEUM (HULL) LIMITED,4684527,10040.89,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-22,RIX PETROLEUM (HULL) LIMITED,4685760,9619.00,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-22,RIX PETROLEUM (HULL) LIMITED,4685760,518.3,Diesel EN590
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2017-11-29,RIX PETROLEUM (HULL) LIMITED,4686464,10634.83,Diesel EN590
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-08,S & W SERVICES (YORKSHIRE) LTD,4685271,343.9,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,S & W SERVICES (YORKSHIRE) LTD,4685781,259,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,S & W SERVICES (YORKSHIRE) LTD,4685781,259,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,S & W SERVICES (YORKSHIRE) LTD,4685387,698,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-29,SPALDINGS (UK) LTD,4687118,254.7,Claro Road Supplies
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2017-11-15,TERBERG MATEC UK,4684973,344.55,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Service Maintenance Contracts,2017-11-15,TIMEPLAN FUEL SOLUTIONS LTD,4685738,395,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Other Supplies & Services,2017-11-06,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,4686091,283,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Other Supplies & Services,2017-11-06,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,4686091,100,
Harrogate Borough Council,Supplies and Services,R,Community,Commercial Services,Other Supplies & Services,2017-11-06,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,4686091,100,
Harrogate Borough Council,Transport,R,Community,Commercial Services,Travel,2017-11-27,REDFERN TRAVEL LTD,4686503,212,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2017-11-29,BAYDALE CONTROL SYSTEMS LTD,4687413,2365.00,
Harrogate Borough Council,Premises,R,Community,Community Safety,Other Premises Related Costs,2017-11-29,BAYDALE CONTROL SYSTEMS LTD,4686704,7194.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2017-11-08,RED ELEPHANT PROMOTIONS LTD,4684817,197.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2017-11-08,RED ELEPHANT PROMOTIONS LTD,4684817,15.5,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,2017-11-27,NORTHUMBRIAN WATER LIMITED (NWL),4686723,1154.99,Environmental Protection
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,29.27,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,29.27,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,29.27,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,15.06,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,15.06,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,15.07,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,29.27,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,15.06,AS60046921
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687202,143.9,
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687202,143.9,
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687203,143.9,
Harrogate Borough Council,Transport,R,Community,Highways,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687203,143.9,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,1472.10,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,73.94,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,86.06,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,53.12,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2017-11-29,PATROL,4687479,63.53,PCN Charge for 3rd Quarter 201 71 8
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-11-06,ARGYLL GUEST HOUSE,4686353,259,accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-11-06,ARGYLL GUEST HOUSE,4686356,385,accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-11-06,ARGYLL GUEST HOUSE,4686352,735,accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-11-06,ARGYLL GUEST HOUSE,4686355,880,accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2017-11-29,ARGYLL GUEST HOUSE,4687894,1443.00,accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2017-11-06,BELVOIR,4686350,675,Bond and rent in advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2017-11-06,BELVOIR,4686350,875,Bond and rent in advance
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2017-11-06,ECLIPSE PROPERTIES LIMITED,4686040,657.72,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2017-11-06,ECLIPSE PROPERTIES LIMITED,4686041,1644.30,REDACTED - PERSONAL DATA
