Body Name,Expenditure Category,Capital / Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2022-08-22,PRISM MEDICAL UK LTD,3654576,5000.00,Disabled Facilities Grants
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2022-08-10,TK ACCESS SOLUTIONS LIMTED,3652986,-275,RE 3635587
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2022-08-10,TK ACCESS SOLUTIONS LIMTED,3653621,1790.00,Disabled Facilities Grants
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2022-08-10,TK ACCESS SOLUTIONS LIMTED,3653980,1890.00,Disabled Facilities Grants
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2022-08-10,WALTER HARTLEY (HARROGATE) LTD,3653558,702,PQ WK 192004936 Connor
Harrogate Borough Council,Supplies and Services,R,Community,Property (Gen Mgmt),Valuation Fees,2022-08-24,HILL CANNON CONSULTING ENGINEERS LTD,1818381,225,375492/1
Harrogate Borough Council,Supplies and Services,R,Community,Property (Gen Mgmt),Valuation Fees,2022-08-24,HILL CANNON CONSULTING ENGINEERS LTD,1818382,225,375476/1
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-10,1ST SELECT LIMITED,3653973,720,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-24,1ST SELECT LIMITED,3654053,1020.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-24,1ST SELECT LIMITED,3653974,1200.00,
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-24,1ST SELECT LIMITED,3653975,1200.00,
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-10,1ST SELECT LIMITED,3654051,1200.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-10,1ST SELECT LIMITED,3654052,1200.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-15,1ST SELECT LIMITED,3654054,1200.00,
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2022-08-15,1ST SELECT LIMITED,3654055,1200.00,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,ALTERNATIVE WINDOWS (LEEDS) LTD,1818326,250.02,368872/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,ALTERNATIVE WINDOWS (LEEDS) LTD,1816676,585.09,361716/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,ALTERNATIVE WINDOWS (LEEDS) LTD,1818595,1060.92,373809/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,ALTERNATIVE WINDOWS (LEEDS) LTD,1818325,2091.13,375658/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-31,ALTERNATIVE WINDOWS (LEEDS) LTD,1818594,2446.43,355532/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Protective Clothing,2022-08-17,ARCO LTD,3653511,275.17,
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Other Expenses,2022-08-08,BATTY FRANCE CONSULTANCY,3653211,777.96,
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Other Expenses,2022-08-15,BATTY FRANCE CONSULTANCY,3654137,1100.00,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,BEACON CONSTRUCTION (UK) LTD,1818327,229.79,377306/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,BEACON CONSTRUCTION (UK) LTD,1818328,267.98,368756/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,BEACON CONSTRUCTION (UK) LTD,1816677,330.06,368226/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,BEACON CONSTRUCTION (UK) LTD,1816678,574.18,364341/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,BEACON CONSTRUCTION (UK) LTD,1816681,696.99,370460/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,BEACON CONSTRUCTION (UK) LTD,1818331,705.13,377748/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,BEACON CONSTRUCTION (UK) LTD,1816680,826.02,368789/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,BEACON CONSTRUCTION (UK) LTD,1818329,989.14,368470/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,BEACON CONSTRUCTION (UK) LTD,1816679,1188.67,365298/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,BEACON CONSTRUCTION (UK) LTD,1818330,1628.96,370693/6
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377491/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377618/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377619/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377620/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377621/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377622/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377623/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377624/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377625/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377626/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377627/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377628/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377629/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377630/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377631/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377632/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377633/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377634/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377635/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377636/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377637/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377638/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377639/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377640/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377641/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377642/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377643/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377644/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377645/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377646/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377647/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377648/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377649/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377650/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377651/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377652/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377653/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377654/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377655/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377656/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377657/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-24,BLUE FLAME ASSOCIATES LTD,1818332,42.98,377658/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Staff Advertising,2022-08-31,BLUETOWNONLINE LTD,3654849,449,Staff Advertising
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Staff Advertising,2022-08-31,BLUETOWNONLINE LTD,3654837,449,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Staff Advertising,2022-08-31,BLUETOWNONLINE LTD,3654837,449,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,CARELINE SECURITY LTD,1818641,479.36,377757/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653428,211.9,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653396,236.03,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653422,261.21,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653405,378.66,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653391,535.18,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-22,CITY ELECTRICAL FACTORS LTD,3654408,535.54,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653417,748.78,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-31,CITY ELECTRICAL FACTORS LTD,3654724,764.75,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653406,798.74,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-15,CITY ELECTRICAL FACTORS LTD,3653809,818.16,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653408,991.18,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-15,CITY ELECTRICAL FACTORS LTD,3653808,1223.02,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653430,1232.04,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653399,1312.77,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-22,CITY ELECTRICAL FACTORS LTD,3654407,1561.27,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653409,1578.12,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-31,CITY ELECTRICAL FACTORS LTD,3654817,1799.16,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653421,1864.09,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-08,CITY ELECTRICAL FACTORS LTD,3653392,2813.25,IHMT
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,CLARKES ENVIRONMENTAL LTD,1816684,294.84,376413/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,CLARKES ENVIRONMENTAL LTD,1818603,1004.64,377489/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,CLARKES ENVIRONMENTAL LTD,1816685,1288.56,376422/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-10,CLARKES ENVIRONMENTAL LTD,1816957,1426.26,375428/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,CLARKES ENVIRONMENTAL LTD,1818600,1501.50,377417/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,CLARKES ENVIRONMENTAL LTD,1818334,1536.99,376896/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-24,CLARKES ENVIRONMENTAL LTD,1818333,1324.05,376421/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-10,CLARKES ENVIRONMENTAL LTD,1816958,1617.41,376802/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-17,COA BUILDING SERVICES LTD,1815202,280,376092/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816965,928,376963/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816959,1150.00,369518/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816960,2372.00,374261/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816962,9980.00,375666/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816964,150,371776/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2022-08-10,COA BUILDING SERVICES LTD,1816964,9950.00,371776/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-03,COMMUNITY RESOURCING LIMITED,3653327,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-15,COMMUNITY RESOURCING LIMITED,3654006,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-17,COMMUNITY RESOURCING LIMITED,3654010,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-24,COMMUNITY RESOURCING LIMITED,3654183,828.43,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-03,COMMUNITY RESOURCING LIMITED,3653326,845.82,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-10,COMMUNITY RESOURCING LIMITED,3654005,845.82,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2022-08-24,COMMUNITY RESOURCING LIMITED,3654131,845.82,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,DUFFIELDS,1818337,359.7,370789/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,DUFFIELDS,1818336,437.04,355345/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-17,DUFFIELDS,1817132,554.8,323905/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-17,DUFFIELDS,1817131,5561.40,372836/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,ENVIRONTEC LIMITED,1818339,250,377181/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-03,ENVIRONTEC LIMITED,1816687,250,374815/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-03,ENVIRONTEC LIMITED,1816688,250,375556/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,ENVIROVENT LTD,1817135,225,375339/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-10,ENVIROVENT LTD,1816693,290,374688/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-10,ENVIROVENT LTD,1816692,450,370190/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,ENVIROVENT LTD,1816698,550,373466/4
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,ENVIROVENT LTD,1816700,680,375133/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-10,ENVIROVENT LTD,1816691,225,373301/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-17,ENVIROVENT LTD,1816694,225,362712/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-17,ENVIROVENT LTD,1816696,225,374683/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-31,ENVIROVENT LTD,1816701,225,375283/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-10,ENVIROVENT LTD,1815206,450,375201/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-17,ENVIROVENT LTD,1816697,450,375125/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-17,ENVIROVENT LTD,1816695,550,374785/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2022-08-31,ENVIROVENT LTD,1816699,959.08,373072/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Reactive Repairs & Maint - Bldgs,2022-08-15,FLOOD PROTECTION SOLUTIONS LTD,3653834,9755.32,
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2022-08-03,G H BROOKS & CO LTD,3652928,771.13,IHMT
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818351,210,374187/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818352,210,373845/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818349,240,373623/3
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816450,270,372097/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-08,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816449,295,366683/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816440,320,374144/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1815217,450,375821/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818357,450,368028/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818360,450,376894/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818361,450,375653/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818363,450,377716/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818364,450,376992/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818340,495,369575/2
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1815216,590,375819/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-17,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816706,650,363475/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816439,700,373860/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-03,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1815214,900,375818/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818359,900,377729/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818346,990,377721/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816710,1005.00,376800/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-17,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816451,1200.00,368128/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-24,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816711,1200.00,376801/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818358,1300.00,377691/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-31,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1818341,1330.00,366601/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2022-08-17,GARY PICKERSGILL T/A GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1816442,1400.00,374306/1
