Body Name,Expenditure Category,Capital / Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2022-08-10,HUNTERS PROPERTY GROUP LTD,3653779,442.31,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-10,HUNTERS PROPERTY GROUP LTD,3653779,663.45,Redacted  Personal Data
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-31,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3654802,498.19,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-22,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3654578,571.26,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3653315,584.54,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3653313,624.4,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3653314,624.4,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-31,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3654823,717.39,Temporary Staff
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,2022-08-22,LEEDS FEDERATED HOUSING ASSOCIATION LTD,3654574,2698.28,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2022-08-31,LEEDS FEDERATED HOUSING ASSOCIATION LTD,3654892,640.1,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Rent in advance/Bond Scheme Landlord Incentiviasation fund,2022-08-10,ORIGIN RESIDENTIAL LTD,3653624,430,Redacted  Personal Data
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-31,PARK AVENUE RECRUITMENT LTD,3654418,476,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,PARK AVENUE RECRUITMENT LTD,3653317,572,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-17,PARK AVENUE RECRUITMENT LTD,3653322,572,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-10,PARK AVENUE RECRUITMENT LTD,3653323,572,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,PARK AVENUE RECRUITMENT LTD,3653298,585,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-24,PARK AVENUE RECRUITMENT LTD,3653319,598,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,PARK AVENUE RECRUITMENT LTD,3653297,1326.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-24,PARK AVENUE RECRUITMENT LTD,3653320,1326.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-31,PARK AVENUE RECRUITMENT LTD,3654082,1326.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-01,PARK AVENUE RECRUITMENT LTD,3653316,1360.00,Temporary Staff
